Meter_location,Jan_2022,Feb_2022,Mar_2022,Apr_2022,May_2022,Jun_2022,Jul_2022,Aug_2022,Sep_2022,Oct_2022,Nov_2022,Dec_2022,Jan_2023,Feb_2023,Mar_2023,Apr_2023,May_2023,Jun_2023,Jul_2023,Aug_2023,Sep_2023,Oct_2023,Nov_2023,Dec_2023,Jan_2024,Feb_2024,Mar_2024,Apr_2024,May_2024,Jun_2024,Jul_2024,Aug_2024,Sep_2024,Oct_2024,Nov_2024,Dec_2024
"F512,INFORMATION TECHNOLOGY BLDG,270 LEITH",6594.87,6594.87,5208.26,7744.75,13697.05,17045.22,27969.03,25973.66,23707.73,21509.44,3531.39,12390.85,12390.85,12390.85,3283.57,5854.68,13629.93,12669.64,17327.0,20565.0,22678.0,15768.0,14012.0,12882.0,8585.0,4818.0,5952.0,11562.0,12368.0,19958.0,23378.0,18783.0,23531.0,20101.0,15884.0,12636.42
"G60X,UNIVERSITY COLLEGE 1,315 LEITH",27880.98,2716.78,100.0,0.0,0.0,2834.57,8673.5,17638.0,41296.0,42049.0,2173.43,2682.82,27880.98,2716.78,100.0,0.0,0.0,3260.14,1195.0,275.0,41296.0,42049.0,8829.21,3534.0,27880.98,2716.78,100.0,0.0,0.0,2409.0,16152.0,35001.0,41296.0,42049.0,15485.0,3108.41
"K308 CFC 911 CUMBERLAND STREET,DUNEDIN",2707.39,3290.98,5971.56,7342.91,8137.18,8142.46,11581.47,6869.85,7994.56,8237.74,8450.52,6626.67,2735.78,2978.96,5897.13,7173.83,8055.36,8480.92,9167.0,8510.0,9518.0,8329.0,8948.0,7148.0,2679.0,3603.0,6046.0,7512.0,8219.0,7804.0,8498.0,6321.0,8897.0,8422.0,8837.0,6887.34
"K427,CFC EAST ABBEY COLLEGE,682 CASTLE STREET,DUNEDIN",3304.52,3304.52,8138.01,15338.91,20320.36,20714.93,25647.06,17114.48,20000.0,23501.36,22194.57,17015.84,8335.29,8631.22,8384.61,14895.02,16621.27,22983.71,16110.0,12604.0,20616.0,14507.0,15591.0,12037.0,5065.0,5606.0,4271.0,10685.0,13204.0,14218.0,15672.0,5987.0,20831.0,15833.0,16875.0,14526.42
"D206, MEDICAL SCHOOL (HERCUS) HANOVER",0.0,0.0,0.0,0.0,0.0,0.0,0.0,17871.0,18416.0,20138.0,17010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17871.0,18416.0,20138.0,17010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17871.0,18416.0,20138.0,17010.0,0.0
"G404,CAMPUS (MICROBIOLOGY),720 CUMBERLAND",13860.56,13860.56,18351.1,17714.64,18315.74,18740.04,20720.12,18952.19,21674.81,19517.93,16795.32,19517.93,18245.02,11809.76,18174.31,18492.53,17856.08,20048.31,19670.0,20967.0,22573.0,21462.0,19630.0,19735.0,15710.0,13000.0,16932.0,18482.0,16651.0,20445.0,21624.0,17687.0,22802.0,22059.0,17180.0,19626.47
"F940 PLAZA BUILDING,132 ANZAC AVENUE,FORSYTH",11064.03,11064.03,10418.9,9196.42,16893.12,15645.18,10170.51,262738.3,102722.2,113745.29,10546.45,7732.61,11936.42,14326.34,15631.71,4302.5,12645.34,12238.52,10455.0,10498.0,419596.0,129573.0,27148.0,139221.0,9558.0,11243.0,10289.0,10170.0,11645.0,10277.0,10347.0,336539.0,68660.0,115147.0,54624.0,73476.8
"F603,PROPERTY SERVICES BLDG,111 ALBANY",368.44,368.44,736.89,884.26,2394.88,2505.41,2837.01,773.73,4163.41,2358.04,1768.53,663.2,589.51,221.07,368.44,921.11,1400.08,1805.37,2630.0,2383.0,4637.0,1769.0,1397.0,1032.0,744.0,105.0,181.0,3314.0,1897.48,2871.0,3557.0,3831.0,4633.0,3023.0,405.0,847.6
"F62X,PSYCHOLOGY (WILLIAM JAMES BLDG),275",72668.22,72668.22,11321.24,5483.73,118554.63,150218.72,50131.87,94603.12,41393.29,50627.18,30496.59,19069.22,17724.82,6969.64,3396.37,3927.06,4563.88,3962.43,4125.0,4184.0,4060.0,3502.0,2683.0,4637.0,1981.0,1912.0,906.0,944.0,1442.0,990.0,1530.0,1179.0,1068.0,1380.0,986.0,11853.11
"G412,SCIENCE 2 BOILER HOUSE,72 UNION PLACE",148.92,148.92,12183.65,8091.46,14098.01,55845.98,46017.08,15934.72,25763.61,2779.89,40506.95,6304.39,434059.75,40273.45,17955.29,3177.02,1092.1,11715.24,53925.0,18887.0,15545.0,237.0,609.0,7669.0,4944.0,6348.0,6412.0,5634.24,7595.05,4404.0,49971.04,1849.0,20654.31,1508.44,20557.97,6986.7
"F405,SMITHELL'S GYMNASIUM,690 CUMBERLAND",0.0,0.0,1220.37,169.5,6237.43,14678.29,33051.58,24610.71,9152.74,21627.6,17254.62,7254.4,0.0,0.0,1220.37,891.9,6140.41,14064.63,27911.0,23807.0,23417.0,16271.0,16653.0,14165.0,0.0,0.0,1220.37,530.7,10463.0,24926.0,32106.0,22472.0,24521.0,22403.0,17753.0,10709.7
"G608,ST MARGARET'S COLLEGE,333 LEITH",2364.47,2364.47,2610.13,3899.85,3254.99,3347.11,4084.09,3316.41,3807.72,3285.7,3838.43,3930.55,31198.77,4790.36,2364.47,3408.53,3562.06,4667.53,4568.0,4283.0,4266.0,3593.0,3983.0,8081.0,13589.0,21312.0,20620.0,3369.0,3663.0,5798.0,33903.0,33198.0,10995.0,19932.0,27271.0,6005.78
"F916,COLLEGE OF EDUCATION BOILER HOUSE,151",39249.13,39249.13,3019.16,89489.38,119036.48,10109.11,68762.31,75377.33,18759.52,1509.5,12551.58,46780.08,124769.5,66319.84,55159.11,54209.26,106281.36,22491.08,91851.0,36294.0,51686.0,780.0,11980.0,2239.0,109448.0,135985.0,105993.0,67745.0,104506.0,8165.0,68765.0,314414.0,613.0,2239.0,2837.0,24509.54
"F402,UNIVERSITY UNION BUILDING,660",48.22,48.22,125.95,3019.06,3376.58,4171.07,5680.6,3495.75,5124.46,5045.01,4290.24,4687.49,4528.59,4845.66,4101.17,9127.11,7559.02,10252.93,7528.0,7559.0,9202.0,9337.0,9640.0,6728.0,4689.0,2446.94,6773.0,9676.0,7793.0,11090.0,7286.0,5099.0,11632.0,10011.0,10246.0,5707.74
"E902,HOCKEN LIBRARY,90 ANZAC AVENUE,DUNEDIN",124805.85,124805.85,88033.0,95192.61,76638.12,86486.79,72907.05,55024.82,54621.47,45411.45,49310.58,67797.84,67764.23,41064.52,50338.26,76243.13,88973.13,72376.22,75266.0,50601.0,61980.0,49483.0,50162.0,66873.0,57687.0,89911.0,69310.0,63831.0,78917.0,56579.0,69992.0,70162.0,68910.0,55175.0,67394.0,67335.42
