Date,0000 Ring Main #1 MP4889 - kWh,0000 Ring Main #2  - kWh,0000 Ring Main #3  - kWh,A161 Taieri Farm - kWh,C405 192 Castle College - kWh,D20X Med School Sub Main - kWh,D402 Hayward College - kWh,D403 Survey & Marine - kWh,D40X Cumberland College - kWh,E201 School of Dentistry - kWh,E212 Zoology Buildings - kWh,E214 Otago Dental School - kWh,E301 Hunter Centre - kWh,E305 Physiotherapy - kWh,E308 Student Health - kWh,E325 Research Support Facility - kWh,E902 Hocken Library - kWh,F204 444 Great King Street - kWh,F315 Botany Tin Hut - kWh,F325 Physical Education - kWh,F711 Executive Residence - kWh,F812 UOCOE Owheo Building - kWh,F813 UOCOE Robertson Library - kWh,F940 Plaza Building - kWh,F9XX College of Education main (Boiler room) - kWh,G401 Mellor Laboratories - kWh,G403 Biochemistry - kWh,G404 Microbiology - kWh,G413 Science 2 - kWh,G608 St Margarets College - kWh,G60X UNICOL - kWh,H41X Selwyn College - kWh E2,H633 Arana College main - kWh,H71X Studholm College - kWh E2,J126 Carrington College (Kitchen/Dining) - kWh,J14X Aquinas College - kWh,J303 Caroline Freeman College - kWh,J960 Portobello Marine Lab - kWh,K427 Abbey College - kWh,XC01 UoO School of Medicine ChCh - kWh,Ring Mains Total - kWh,Libraries Total - kWh,Colleges Total - kWh,Science Total - kWh,Health Science Total -kWh,Humanities Total - kWh,OBS & Psychology Total - kWh,Total Stream DN Electricity - kWh,ITS Servers Total - kWh
Jan-22,251350.98,0.0,440424.38,5108.36,11006.16,327840.03,9460.99,9963.73,18225.27,0.0,69033.09,163820.86,14940.71,142957.37,9905.05,103243.08,68096.4,109335.43,21619.55,14269.86,3184.33,29788.49,33022.12,132734.41,41395.89,105178.75,142364.04,98978.64,117647.74,15498.58,31056.27,9109.07,27736.59,9162.46,7481.59,8067.39,28866.51,24710.26,9438.37,195889.51,691775.36,207424.52,187025.79,519811.1,757910.41,110716.89,120681.0,2666022.78,237083.43
Feb-22,258506.22,0.0,444172.08,4832.68,14045.02,334840.35,15397.23,10737.42,25812.61,0.0,61635.86,149261.73,14445.74,133487.16,10439.52,94709.8,60933.33,98047.92,21814.45,14967.44,3481.79,27845.59,38208.57,127971.07,42710.06,97322.72,132295.61,94068.38,110835.86,22857.39,46680.72,19710.94,35153.95,16661.09,18554.49,14094.49,47815.56,25267.87,12601.91,181817.21,702678.3,229916.9,274032.07,493387.59,731577.46,115342.06,132638.0,2702224.63,215193.92
Mar-22,305807.13,0.0,519503.26,5474.11,23767.87,374717.28,25299.55,13596.74,43444.23,0.0,71100.03,177405.44,14334.04,154091.88,12529.18,105043.72,68675.73,110226.2,28049.39,21471.82,4247.0,31621.0,45788.83,141535.57,52238.08,113705.09,149336.69,108025.08,124466.62,34832.6,72225.95,32905.52,50402.48,32275.52,32457.24,28857.55,73572.15,28900.57,22626.68,196294.97,825310.39,270178.39,436309.4,574577.33,831066.47,148488.08,156541.0,3254557.83,245081.2
Apr-22,301477.28,0.0,487604.94,6012.11,20786.66,363227.76,22042.35,13572.79,38529.47,0.0,65889.86,155201.06,13544.56,147724.15,17841.91,91983.04,63277.95,106434.71,36248.66,26929.58,6150.86,29930.47,44075.01,124295.83,50871.6,105821.12,142409.33,96618.6,120885.36,33771.76,66279.94,34081.02,45199.63,30739.11,32580.19,33565.97,93146.31,30259.42,25989.81,185577.7,789082.22,263960.13,446513.61,565962.86,777692.68,148583.6,131581.0,3125000.17,235901.71
May-22,368266.87,0.0,606794.98,3417.19,24610.72,409979.49,26364.83,17680.42,48061.39,0.0,71397.84,167116.67,17434.52,160646.52,23271.25,94787.36,67776.77,109583.64,44558.12,38658.48,6653.36,34572.55,46953.25,137722.26,66122.94,115579.87,152989.78,101740.08,133904.5,38951.09,81338.08,53866.55,54997.15,50320.7,41436.96,50143.51,142035.42,34664.49,38855.75,202580.47,975061.85,272543.02,610869.99,648713.36,853381.75,193396.94,166315.0,3683255.37,246812.64
Jun-22,349975.3,0.0,705035.51,3067.72,22214.27,377286.63,23444.1,15654.92,42054.53,0.0,72474.03,145395.87,15497.39,161043.0,29529.54,94090.04,62069.26,105134.11,49167.0,52347.81,24373.99,32869.58,42061.74,123264.82,68435.62,108671.36,151741.94,96235.37,145255.61,35980.13,76659.39,58802.86,49162.8,52206.45,43434.95,58936.82,154049.13,37133.83,43567.59,195604.8,1055010.81,246018.0,641097.2,676427.51,796380.65,196916.62,215795.0,3728325.01,239084.11
Jul-22,293299.37,0.0,757101.76,3370.79,23154.93,410549.73,24267.0,16693.73,44898.77,0.0,78764.88,169241.86,15442.26,165533.42,32356.33,95697.64,70941.12,109309.85,53740.89,56881.52,20747.56,34543.1,33123.86,114116.94,78874.86,113879.36,161403.53,100340.4,147425.95,38702.51,81596.19,66641.76,51920.74,60932.97,46195.99,71220.21,173416.53,35910.4,49330.15,202355.98,1050401.13,236288.98,705972.21,712051.24,859835.7,215815.86,238697.0,3901568.86,245170.85
Aug-22,286410.61,289035.21,456433.79,3372.79,23881.42,403650.99,26190.2,17542.42,47390.56,0.0,77214.58,165493.41,17498.8,162273.5,27460.13,97352.4,76628.61,107218.83,41248.52,51578.51,7394.37,34779.42,43194.71,141536.91,78104.03,119970.05,159507.6,104576.95,148776.22,39878.24,84484.7,64360.31,55323.62,60960.69,43106.73,63946.67,163297.59,31982.8,43252.1,204770.04,1031879.62,276515.84,673761.93,695667.46,849641.89,218675.03,238560.0,3866309.0,242289.83
Sep-22,269283.26,0.0,676192.26,3271.79,22567.36,384896.58,25914.83,16022.69,45666.48,0.0,76386.48,158119.65,16483.44,150783.34,24094.23,92020.88,68296.83,99593.07,40634.11,49572.64,5112.83,35788.38,42556.85,126967.06,72108.0,114243.81,149133.1,101239.42,126293.14,38093.83,79445.01,59771.45,53956.61,53064.48,39734.41,55712.46,148097.28,32947.12,37782.12,196648.61,945475.52,262927.53,621262.52,656326.78,805575.67,199736.0,214468.0,3591847.26,227536.07
Oct-22,267365.48,0.0,646846.51,3349.26,23390.34,385808.43,26218.29,16077.44,46891.09,0.0,74295.81,161432.74,12848.89,154154.18,21227.57,99877.6,61328.8,104778.42,27927.11,42745.81,4537.7,35880.81,44243.34,129526.3,64288.54,116012.35,145513.27,100892.02,127217.74,38109.31,80128.67,56099.51,55007.22,51225.93,38002.95,49839.88,135279.6,30936.51,34268.8,201305.06,914212.0,249520.15,594751.42,628001.09,817471.1,183554.91,207280.12,3513574.23,240236.46
