Meter Location,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24
"F503, Castle Lecture ",3000.0,3100.0,6200.0,7800.0,18500.0,14200.0,23900.0,25600.0,29500.0,25100.0,12300.0,8400.0,5100.0,5600.0,13000.0,13400.0,23300.0,19500.0,31600.0,39300.0,25700.0,16200.0,12000.0,12200.0,6300.0,15800.0,21700.0,16900.0,35600.0,19600.0,36300.0,34900.0,22600.0,19500.0
"F505, Richardson Total",70400.0,57580.0,91180.0,113220.0,178900.0,244390.0,277480.0,230550.0,225400.0,181170.0,96060.0,81700.0,54320.0,33310.0,80260.0,144380.0,175910.0,215970.0,248420.0,235160.0,163090.0,140620.0,116000.0,74270.0,61660.0,70940.0,131450.0,123910.0,225300.0,228760.0,251010.0,233510.0,191820.0,154650.0
"F518, Arts Building ",17100.0,16600.0,28100.0,43000.0,67800.0,80400.0,103400.0,90200.0,81000.0,69400.0,31400.0,22100.0,9500.0,6900.0,33500.0,50800.0,75300.0,71300.0,85400.0,102200.0,64900.0,54600.0,39400.0,19400.0,15000.0,18700.0,39900.0,55100.0,88900.0,68300.0,78200.0,80300.0,51600.0,47100.0
G401 Mellor Lab total,127500.0,131600.00000000035,157500.0,201800.00000000017,304299.9999999993,422100.00000000035,451200.0000000007,372099.9999999994,350599.99999999854,304500.0000000018,177799.99999999927,161399.99999999965,99400.00000000146,101599.80468749927,168100.19531250146,223500.99999999837,280000.0,349600.00000000035,399898.9999999994,408301.0000000013,271198.9999999987,242500.0,203700.58593750035,141999.41406249854,112700.00000000255,119299.60000000028,189800.78999999934,216200.1999999993,332200.1999999993,324798.81000000203,348000.98999999865,331899.41,260099.60000000137,224101.57999999865
"G404, Microbiology ",50000.0,55780.0,76570.0,75630.0,103760.0,113850.0,188950.0,142060.0,129300.0,121770.0,68800.0,59930.0,40790.0,48170.0,78610.0,113010.0,167980.0,140760.0,137780.0,198140.0,126250.0,118420.0,114540.0,81670.0,54530.0,76570.0,95450.0,102000.0,144400.0,133940.0,154940.0,141410.0,118040.0,100620.0
"G413, Science 2 total",91850.0,76460.00000000004,112780.0,119449.99999999996,182660.00000000017,238799.99999999994,263150.0,229170.00000000006,237439.99999999994,216430.00000000006,132259.9999999999,112949.99999999994,83360.00000000015,76809.98535155991,97660.01464844,132050.0,178980.0,202050.0,215250.0,217960.0,192470.0,178400.0,138960.0,100460.00000000004,91560.00000000004,99049.99999999991,150579.93699999998,166520.039,226940.0040000001,203879.961,221569.96600000001,211340.01999999993,169640.01900000006,148000.0
"G501, Staff Club ",1110.0,1090.0,2800.0,3970.0,6770.0,10250.0,10630.0,8400.0,7370.0,5780.0,2150.0,1290.0,260.0,540.0,1720.0,2620.0,5900.0,6590.0,5660.0,7020.0,3880.0,4400.0,4080.0,2180.0,2160.0,1790.0,4840.0,5560.0,10690.0,9340.0,12140.0,10000.0,7790.0,7320.0
"G405, Science 3 ",76300.0,73200.0,77300.0,91400.0,161500.0,227500.0,259000.0,181900.0,197000.0,182200.0,84500.0,74300.0,39800.0,32900.0,52200.0,92000.0,107300.0,158000.0,184100.0,177600.0,132200.0,119800.0,103800.0,88900.0,84300.0,96400.0,96100.0,98700.0,163600.0,169000.0,184400.0,184500.0,146000.0,138400.0
"G411, St David Lecture ",6200.0,8900.0,10600.0,18900.0,34700.0,50700.0,73200.0,31200.0,33900.0,29800.0,9500.0,9400.0,3000.0,-1350240.0,1366340.0,17700.0,28600.0,37300.0,48600.0,44200.0,30100.0,2900.0,900.0,0.0,100.0,0.0,0.0,23100.0,46000.0,32400.0,47200.0,41200.0,24500.0,21200.0
"H402, St David 2 ",13950.000000000045,13000.0,18650.00000000009,20019.99999999998,29029.99999999997,40099.99999999991,35000.0,44100.00000000014,37399.99999999986,31600.00000000014,18899.99999999986,18299.999999999956,7900.000000000091,8500.0,19500.0,22000.0,31299.999999999956,40700.000000000044,46599.99999999991,48400.00000000009,33000.0,28000.0,22000.0,25000.0,18000.0,11000.0,25500.0,30000.0,31000.0,31000.0,65500.0,36000.0,35000.0,27000.0
"F419, ISB ",23000.0,34000.0,20000.0,48000.0,68000.0,110000.0,175000.0,108000.0,83000.0,82000.0,52000.0,35000.0,19799.999999999272,25200.000000000728,58159.999999999854,80840.00000000015,121000.0,118000.0,143000.0,139000.0,135000.0,61540.00000000087,62459.99999999913,51000.0,27000.0,36000.0,110000.0,101340.00000000015,145659.99999999985,120000.0,177000.0,130000.0,140000.0,112000.0
