Category,Meter_location,Jan_2022,Feb_2022,Mar_2022,Apr_2022,May_2022,Jun_2022,Jul_2022,Aug_2022,Sep_2022,Oct_2022,Nov_2022,Dec_2022,Jan_2023,Feb_2023,Mar_2023,Apr_2023,May_2023,Jun_2023,Jul_2023,Aug_2023,Sep_2023,Oct_2023,Nov_2023,Dec_2023,Jan_2024,Feb_2024,Mar_2024,Apr_2024,May_2024,Jun_2024,Jul_2024,Aug_2024,Sep_2024,Oct_2024,Nov_2024,Dec_2024
Janitza_Med_Data,D200 Whole Medical School:,327299,334299,374104,362627,409346,376717,409956,403055,384319,385204.22,334962.69,305528.84,315457.53,312586.25,368697.34,354820.09,392712.19,384548.88,387186.69,401924.09,363180.03,358387.72,329834.5,304795.66,317841.41,316592.13,346120.19,341229.56,384794.63,357027.84,398360.56,399708.16,368099.31,95965.19,0,0
Janitza_Med_Data,D201 & D203 Adams Sayer Submains:,92787,98409,107459,103336,113451,111325,112916,111086,106810,109025.28,89550.85,78039.04,84571.13,90240,109840.38,102045.7,115225.6,115674.11,113861.63,118433.79,104881.15,106258.43,91697.15,80225.28,89223.17,92341.25,100363.27,102641.66,115576.83,106402.81,119118.85,118827.01,108305.41,28542.98,0,0
Janitza_Med_Data,D201 Adams & Sayers:,91963,97255,106805,102709,112553,110685,112293,113200,106221,108422.66,89097.73,77693.44,84166.14,89754.63,109201.92,101480.96,114368,114982.4,113202.69,117722.63,105953.28,109537.79,89532.93,80552.96,87916.55,91888.13,100194.81,101898.24,114905.09,106110.46,119635.45,116915.2,108339.2,105785.86,0,0
Janitza_Med_Data,D201 Adams 7th Floor Mechanical:,11451,10752,13348,13057,13848,13419,12548,12567,12959,13173.57,11768.45,12811.71,14229.06,13243.84,14382.08,13327.74,14224.26,13416.96,13738.18,13735.3,13220.16,13699.9,13120.58,13133.44,14035.65,12685.89,13911.55,14444.8,14895.49,14329.73,13288.45,12860.74,12333.76,13416.96,0,0
Janitza_Med_Data,D201 Adams Basement Mechanical:,11469,10134,11889,12093,12089,11393,11522,10871,11083,11531.33,10817.79,11385.86,11051.39,10700.03,12458.3,11041.22,12129.86,10886.4,10821.89,11171.84,10650.88,10820.35,10859.46,11688.51,11527.42,11255.87,11627.78,10958.08,11451.84,10740.42,11563.26,11592.9,11029.57,11792.45,0,0
Janitza_Med_Data,D201 Adams Lift:,1524,1590,1921,1536,2100,1663,1776,1952,1758,876.1,1839.46,1410.9,1409.47,1529.61,2076.42,2141.33,2127.18,1759.96,1877.98,2106.74,1936.1,1847.46,1660.21,1355.9,1414.1,1684.41,1830.1,1733.06,2054.19,1698.83,1912.02,2082.34,2071.3,2140.48,0,0
Janitza_Med_Data,D201 Adams Lower Riser:,14587,14911,14992,14070,17734,19694,23227,21571,19958,19646.53,15384.06,14723.65,13668.35,14090.18,18803.78,17882.82,23062.53,23881.73,24000.38,25418.24,20071.68,19206.78,17596.67,14762.62,15166.59,14274.3,15725.31,17119.49,21596.29,19275.26,20567.04,19696.38,15828.1,15411.33,0,0
Janitza_Med_Data,D201 Adams Upper Riser:,34052,35765,37406,36843,38592,37011,36091,35705,33055,20718.46,29848.58,25713.28,25813.38,26859.65,33378.43,31614.21,34442.24,36393.21,35331.33,37427.46,31015.17,31265.79,28047.36,25273.09,26732.03,27025.92,30293.5,31981.06,36874.5,33641.73,43234.3,43072,39928.06,33831.94,0,0
Janitza_Med_Data,D202 Wellcome:,24926,25682,26736,27265,30835,31766,29716,24678,21033,22224.38,19474.94,15166.72,15520.26,15487.23,17915.39,16895.49,19286.53,18815.23,20961.54,23029.76,18920.96,19170.56,17495.55,16301.82,16020.74,16261.12,20052.48,20973.06,22841.6,20963.07,20694.02,23576.58,24952.58,7078.4,0,0
Janitza_Med_Data,D203 Sayers (at Adams MSB):,19027,24614,27198,25092,28334,27372,27052,27505,25932,25789.31,19667.07,11486.59,17846.53,22985.47,27366.4,24957.57,28025.09,28355.2,27177.47,27700.35,27282.43,28267.78,19661.31,13290.62,19424.77,24473.86,26240.77,25672.96,27847.68,25988.48,27605.12,28539.01,27241.22,28818.05,0,0
Janitza_Med_Data,D204 LFB:,83003,91273,105411,103240,123336,119763,128629,129350,121421,122362.88,103203.84,91644.93,94995.45,94465.02,111723.52,112121.86,130594.81,130812.93,136863.75,140831.75,125416.45,121571.33,113524.73,105088,110136.32,109375.48,120841.22,118115.33,137077.77,123285.51,142147.58,139694.08,124954.63,32757.76,0,0
Janitza_Med_Data,D204 LFB Chiller:,0,0,0,0,0,0,0,0,0,0,0,4895.85,6897.12,5849.65,4055.14,3094.98,2043.73,2057.38,2091.04,2447.29,2833.14,3532.76,0,4895.85,13794.24,11699.3,8110.29,6189.95,4087.46,4114.75,4182.07,4894.58,5666.28,7065.52,0,0
Janitza_Med_Data,D204 LFB DBB1:,11703,10623,11253,13695,18200,18941,17091,17440,16687,16619.58,12742.46,10770.69,10536.64,9877.06,12927.81,13676.1,14821.12,14753.15,15556.48,17542.85,15780.16,16303.49,13885.31,11024.32,11646.91,12006.72,15070.66,14411.78,16211.07,15457.86,16937.02,16937.86,15350.78,15135.49,0,0
Janitza_Med_Data,D204 LFB DBB2:,3744,3373,3629,4140,4936,4878,5154,5081,4814,4897.42,4677.76,4299.34,4724.74,4498.14,5080.4,4597.81,4798.37,4891.39,5127.02,4860.19,5237.34,4725.6,4801.95,4566.18,4536.03,4391.42,4568.42,4698.53,4910.05,4624.58,5345.06,5557.57,4921.92,5066.43,0,0
Janitza_Med_Data,D204 LFB DBB4:,5114,5381,6335,6787,7498,6408,6561,6472,5902,6249.12,5517.09,5376.42,4513.5,4432.96,4795.49,5481.79,6556.61,6935.39,6326.3,6427.78,5212.54,5428.58,5150.75,4830.82,4856.1,4842.02,5746.62,5640.54,6599.87,5937.92,6432.9,6718.34,5989.86,5994.37,0,0
Janitza_Med_Data,D204 LFB DBB5:,8879,8670,9454,9096,10103,10012,9492,9798,9206,9364.03,9035.52,8808.9,8855.65,8601.54,10455.94,9755.9,10627.1,10734.82,11402.02,8788,8499.78,9807.62,10440.45,9813.18,10289.25,10022.08,10525.44,10182.14,10639.23,9949.38,10963.33,10538.24,10371.33,10032.32,0,0
Janitza_Med_Data,D204 LFB Nth Riser:,12104,14404,17455,17140,22274,21314,24613,9897,756,937.02,13437.44,13413.7,14031.49,14929.47,19036.54,19597.82,24000.38,24622.85,25710.08,27080.32,21895.68,18818.43,17333.12,13928.45,13746.3,15735.68,19375.36,19452.54,25680.38,23465.47,28154.62,25993.73,23692.03,24419.58,0,0
Janitza_Med_Data,D204 LFB Sth Riser:,14369,14861,17637,18882,25238,27678,30053,27627,24910,22742.72,17897.41,14253.76,14235.46,15069.89,20122.24,20698.69,25485.63,27192.96,30105.6,31673.09,25206.14,22557.18,18572.54,14704.9,14780.93,15950.08,20766.21,23775.62,32501.5,28111.74,32086.78,30530.05,25539.84,22097.66,0,0
Janitza_Med_Data,D204 LFB West Riser:,21091,20059,22396,20254,22365,22003,24817,9024,417,509.57,20268.8,22713.22,23798.14,21360.13,23179.78,23175.04,26956.42,26894.34,28259.07,29161.34,26877.31,26764.16,25636.35,25141.12,25527.94,24535.3,25483.9,23337.98,25795.97,24505.6,27120.9,27272.32,23467.9,22226.05,0,0
Janitza_Med_Data,D205 Scott:,28653,25394,29344,28250,32252,32241,33959,35078,32077,29914.37,28917.5,27600.64,28985.34,27613.95,31138.05,29485.31,33795.07,33431.04,32887.55,33755.39,31286.02,31156.99,29353.22,27314.94,28573.7,27503.1,29511.42,28188.67,32103.17,29213.7,32130.82,30730.75,28861.7,7539.2,0,0
Janitza_Med_Data,D206 Hercus:,91748,87307,98113,95227,100893,95433,97888,97029,94352,93953.02,86806.53,85681.15,85189.63,78675.97,90477.57,87940.09,85538.81,78493.7,77831.17,81759.23,75276.29,73930.75,72136.7,68659.2,66164.73,64257.02,68914.18,65534.98,70169.6,69675.01,77119.48,80035.84,73387.01,19621.89,0,0
Janitza_Med_Data,D207 Generator:,76,52,98,41,36,19881,58,1529,78,150.32,27.86,156.72,865.2,142.94,128.02,25.36,42.02,72.19,2058.98,2994.59,135.41,105.89,1000.69,1.39,52.83,55.36,798.13,1107.47,439.49,89.33,1901.39,1905.63,788.67,1307.01,0,0
Janitza_Med_Data,D207 Nitrogenplant:,3807,4199,4627,3029,4520,3696,3802,4439,5923,5098.82,4171.87,4651.58,4522.82,4121.92,5116.77,3887.36,5770.27,4726.4,4289.92,4499.58,4995.78,3754.75,3849.54,4334.66,4945.34,4467.78,4418.56,4222.98,4613.76,4994.69,6460.16,6169.79,5917.7,6097.09,0,0
Janitza_Med_Data,D207 Thermal Storage IT:,253,219,778,273,335,444,685,654,812,310.6,350.22,273.88,309.07,262.36,284.05,226.69,375.68,273.5,348.15,377.45,262.98,255.2,267.87,224.4,253.62,274.65,237.96,227.48,434.5,266.54,351.5,323.14,221.95,64.04,0,0
Janitza_Med_Data,D207 Thermal Storage plant :,3502,3241,3249,3462,3678,3688,4011,3809,3419,3825.6,3688.86,3674.59,3276.35,3185.5,3617.34,3566.82,3671.68,3821.34,3728.1,3730.02,3571.71,3663.49,3620.48,3678.05,3712.8,3313.47,3761.02,3582.24,3757.6,3591.71,3707.01,3730.56,3621.15,950.82,0,0
Janitza_Med_Data,E201 Clinical Services Building MSB Total:,164180,149602,177818,155541,167472,145685,169574,165825,158437,161771.02,166179.84,170644.98,190557.7,184961.03,188635.64,165298.69,178835.45,164442.11,177967.61,184457.73,179001.34,183073.8,153398.78,148269.06,158046.2,160465.41,173361.16,173564.92,178383.88,154830.84,168794.11,168142.84,165310.47,180589.56,0,0
Janitza_Med_Data,E201 Busduct Riser 3:,16498,16500,20115,18237,20832,20080,21741,21851,20036,19509.18,18446.98,16926.78,16632.32,17217.28,20357.38,19226.88,20958.53,19799.62,21539.58,22526.21,21125.7,21416.58,19281.73,18332.48,18643.2,18689.22,20537.34,19504.7,22572.86,20206.08,22438.53,22280.06,21206.02,21792.77,0,0
Janitza_Med_Data,E201 Dental CSB Busduct Riser 4:,7477,7532,9643,8543,9954,9004,9639,10331,9754,9666.24,8584.29,7986.69,7375.68,7689.66,9766.72,8987.55,9893.25,8774.91,9946.62,10495.23,10231.33,10286.11,8823.84,8553.47,8099.81,8900.42,10108.51,9984.7,10873.86,9164.03,10127.2,10591.55,9880.83,10139.14,0,0
Janitza_Med_Data,E201 Dental CSB DB-C-CSSD-ESS:,10041,6817,13943,6960,12405,9932,11114,11903,11093,11257.73,7026.98,7107.42,4910.69,2367.84,5991.81,3267.81,7529.86,8101.34,11984.74,12776.99,11111.04,11029.7,6548.64,2186.21,1642.72,2708.54,3976.7,3775.87,4930.85,3267.01,4135.58,4775.52,4111.62,6683.2,0,0
