Meter_location,Jan_2022,Feb_2022,Mar_2022,Apr_2022,May_2022,Jun_2022,Jul_2022,Aug_2022,Sep_2022,Oct_2022,Nov_2022,Dec_2022,Jan_2023,Feb_2023,Mar_2023,Apr_2023,May_2023,Jun_2023,Jul_2023,Aug_2023,Sep_2023,Oct_2023,Nov_2023,Dec_2023,Jan_2024,Feb_2024,Mar_2024,Apr_2024,May_2024,Jun_2024,Jul_2024,Aug_2024,Sep_2024,Oct_2024,Nov_2024,Dec_2024
D201 Adams Building,72936.0,72641.0,79607.0,77617.0,84219.0,83313.0,85241.0,85695.0,80289.0,82633.34,69430.65,66206.85,66319.61,66769.16,81835.52,76523.39,86342.91,86627.2,86025.22,90022.28,78670.85,81270.01,69871.62,67262.34,68491.78,67414.27,73954.04,76225.28,87057.41,80121.98,92030.33,88376.19,81097.98,76967.81,0.0,0.0
D201 Adams Building losses (Med MSB to Adams),824.0,1154.0,654.0,627.0,898.0,640.0,623.0,711.16,589.0,602.62,453.12,345.6,404.99,485.37,638.46,564.74,857.6,691.71,658.94,711.16,294.5,301.31,2164.22,172.8,1306.62,453.12,168.46,743.42,671.74,292.35,0.0,1911.81,0.0,0.0,0.0,0.0
E201 Dental Losses (MSB -CSB and Walsh),370.0,5.0,251.0,0.0,562.0,309.0,0.0,0.0,341.5,337.8,299.65,50.93,399.49,154.24,121.21,0.0,116.08,309.0,0.0,0.0,341.5,337.8,182.52,25.47,173.05,162.82,268.29,0.0,0.0,205.57,0.0,0.0,88.84,208.37,0.0,0.0
D206 Spark Inst. on Hercus Roof (room No 424),5893.0,31430.0,2083.0,4772.0,5386.0,5184.0,5000.0,6497.0,5209.0,5644.0,5582.0,5100.0,5893.0,5100.0,5855.0,5522.0,5344.0,5010.0,5547.0,5450.0,5200.0,5332.0,4862.0,5000.0,2374.0,7294.0,5534.0,5100.0,5344.0,5010.0,5000.0,5000.0,5000.0,0.0,0.0,0.0
E201 Otago Dental School CSB  Chiller 1 ,9193.0,9431.0,10750.0,6399.0,3631.0,3282.0,3391.0,2350.0,3620.0,3605.0,9883.0,9341.0,14004.0,12532.0,12705.0,6109.0,7052.0,2914.0,3052.0,3006.0,5771.0,5336.0,5602.0,8880.0,8702.0,10458.0,4588.0,5006.0,3171.0,2605.0,3477.0,2151.0,4099.0,6563.0,0.0,0.0
E201 Otago Dental School CSB  Chiller 2,8202.0,10900.0,11775.0,6574.0,5977.0,2498.0,2262.0,3290.0,3158.0,6224.0,9892.0,10683.0,16551.0,19710.0,10331.0,5552.0,4031.0,3653.0,3626.0,3458.0,5148.0,7245.0,5614.0,9029.0,8514.0,9927.0,6137.0,4790.0,2808.0,1226.0,3114.0,3155.0,3422.0,5119.0,0.0,0.0
E209 Marples Building ,10876.0,10018.0,13648.0,11082.0,13187.0,12986.0,15135.0,14395.0,14037.0,11936.27,9558.37,8910.74,8379.15,8755.92,11696.72,11241.11,13797.05,12981.03,14242.82,15069.56,13125.28,12061.07,10541.46,8894.26,9345.68,10425.31,11898.51,12016.05,13643.66,11547.64,13302.56,13596.88,12857.78,3277.12,0.0,0.0
E212 Benham Building,37769.0,32364.0,36705.0,32775.0,33693.0,32145.0,33035.0,35357.0,36218.0,37285.25,36794.5,39010.81,41309.44,37607.3,40010.11,35689.47,36744.32,35090.31,36819.46,38383.62,37398.39,39200.0,38050.94,39232.63,41107.97,38292.85,34513.41,32493.57,34594.68,32396.68,34997.12,32691.96,34010.11,62235.64,0.0,0.0
E305 325 Gt King IT incl. CRAC,127748.0,117146.0,134855.0,129467.0,137229.0,133950.0,135861.0,135071.0,127943.0,135458.04,131964.16,136195.59,142502.66,129993.47,148823.04,139961.6,146054.14,142425.85,145802.25,143569.14,141108.23,141125.38,145808.39,153152.26,152384.77,141760.76,150091.0,143823.11,149721.6,145358.59,153205.5,152299.26,146707.71,168395.52,0.0,0.0
E305 325 Gt King Server Room Racks,104497.0,96541.0,109663.0,106485.0,113743.0,112650.0,117574.0,115392.0,109931.0,115794.5,110193.88,112221.81,113032.04,103664.96,119549.27,114879.41,122152.77,121592.93,126422.17,125597.37,118450.28,117209.55,119796.75,122600.84,119903.74,111974.26,121443.53,117974.87,128786.17,124727.78,131885.1,132032.33,126240.11,144927.3,0.0,0.0
