Meter_location,Jan_2022,Feb_2022,Mar_2022,Apr_2022,May_2022,Jun_2022,Jul_2022,Aug_2022,Sep_2022,Oct_2022,Nov_2022,Dec_2022,Jan_2023,Feb_2023,Mar_2023,Apr_2023,May_2023,Jun_2023,Jul_2023,Aug_2023,Sep_2023,Oct_2023,Nov_2023,Dec_2023,Jan_2024,Feb_2024,Mar_2024,Apr_2024,May_2024,Jun_2024,Jul_2024,Aug_2024,Sep_2024,Oct_2024,Nov_2024,Dec_2024
D204 Spark Inst. on Hercus Roof (room No 424),160624.0,192054.0,194137.0,198909.0,204295.0,209479.0,214479.0,220976.0,226185.0,231829.0,237411.0,242511.0,248404.0,253504.0,259359.0,264881.0,270225.0,275235.0,280782.0,286232.0,291432.0,296764.0,301626.0,306626.0,309000.0,316294.0,321828.0,326928.0,332272.0,337282.0,342282.0,347282.0,352282.0,0.0,0.0,0.0
E201 Otago Dental School CSB  Chiller 1 ,234063.0,243494.0,254244.0,260643.0,264274.0,267556.0,270947.0,273297.0,276917.0,280522.0,290405.0,299746.0,313750.0,326282.0,338987.0,345096.0,352148.0,355062.0,358114.0,361120.0,366891.0,372227.0,377829.0,386709.0,395411.0,405869.0,410457.0,415463.0,418634.0,421239.0,424716.0,426867.0,430966.0,437529.0,0.0,0.0
E201 Otago Dental School CSB  Chiller 2,205201.0,216101.0,227876.0,234450.0,240427.0,242925.0,245187.0,248477.0,251635.0,257859.0,267751.0,278434.0,294985.0,314695.0,325026.0,330578.0,334609.0,338262.0,341888.0,345346.0,350494.0,357739.0,363353.0,372382.0,380896.0,390823.0,396960.0,401750.0,404558.0,405784.0,408898.0,412053.0,415475.0,420594.0,0.0,0.0
E315 71 Frederick Room 101,182906.0,183477.0,184203.0,185695.0,187639.0,189777.0,192622.0,194964.0,196744.0,198186.0,198848.0,199200.0,200256.0,200861.0,201824.16,203282.0,204582.0,207282.0,210420.0,212700.0,214400.0,214695.0,215407.0,215757.0,216107.0,216757.0,217598.0,218990.0,220219.0,222919.0,226000.0,226947.0,228547.0,230258.0,0.0,0.0
E315 71 Frederick Staff area 1st floor ,124781.0,125172.0,125559.0,126870.0,128405.0,130093.0,132885.0,134841.0,136693.0,138162.0,138610.0,139000.0,139395.0,139805.0,140693.56,142107.0,143407.0,145907.0,149114.0,152000.0,153700.0,154254.0,155051.0,155401.0,155751.0,156401.0,157532.0,159469.0,161349.0,163849.0,166300.0,168561.0,170261.0,172160.94,0.0,0.0
F325 PhysEd Flume,135705.0,135745.0,135923.0,136249.0,136705.0,137050.0,137443.0,137793.0,138387.0,138888.0,139195.0,139210.0,139777.6,140036.6,140336.6,140699.4,141120.7,141520.7,142027.8,142427.8,142837.8,143244.8,143575.3,143775.3,143975.3,144395.5,144766.7,145118.0,145577.9,145878.0,146384.7,146796.8,147193.8,147534.7,0.0,0.0
F320 PE Squash Courts,412224.0,412481.0,413122.0,414142.0,415547.0,416900.0,418400.0,420530.0,421930.0,423158.0,423550.0,423803.0,424203.0,424203.0,424203.0,424203.0,424203.0,424203.0,424203.0,424203.0,424203.0,424203.0,424203.0,424203.0,424203.0,424203.0,424203.0,424203.0,424203.0,424203.0,424203.0,424203.0,424203.0,424203.0,424203.0,424203.0
F408 65 Union Place west (HEDC),313041.0,314274.0,315718.0,317697.0,320178.0,322500.0,326734.0,330147.0,332490.0,334855.0,336855.0,262132.0,264550.0,265568.0,267379.0,269390.0,272350.0,275450.0,279195.0,282695.0,285234.0,287845.0,263147.0,265147.0,266000.0,267077.0,269159.0,271316.0,275081.0,277997.0,281848.0,285301.0,287913.0,290418.0,0.0,0.0
F409 75 Union Place west (HEDC),26.79,27.39,28.08,29.41,31.12,33.0,35.64,37.81,39.56,41.4,42.48,43.0,43.78,44.34,45.46,46.74,48.53,50.35,53.03,56.0,56.98,58.69,60.15,61.0,61.8,62.5,63.86,65.33,67.78,69.24,71.07,73.0,74.0,75.19,0.0,0.0
F513 262 Leith St  ,282.11,283.38,285.09,287.05,289.48,293.61,298.09,302.09,305.32,307.49,308.45,309.58,309.98,310.53,311.82,314.11,316.74,319.46,322.7,325.46,327.42,329.12,329.97,330.57,331.0,331.24,331.63,332.0,332.0,332.0,337.35,342.14,345.8,349.39,0.0,0.0
F516 99 Albany St,42457.0,42643.0,42856.0,43084.0,43285.0,43504.0,43799.0,44004.0,44245.0,44489.0,44713.0,44927.0,45118.0,45328.0,45578.0,45839.0,46142.0,46297.0,46762.0,47331.0,47931.0,48482.0,48993.0,49193.0,49393.0,50776.0,51311.0,51909.0,52551.0,52701.0,53659.0,54252.0,54850.0,55670.0,0.0,0.0
F517 97 Albany St,157.57,158.28,158.91,159.77,160.74,162.0,162.55,163.55,164.43,165.41,165.94,166.78,167.22,167.73,168.44,169.18,170.26,171.12,171.95,172.75,173.51,174.33,174.93,175.6,175.6,175.7,175.8,176.0,176.0,177.0,177.92,180.13,182.0,183.6,0.0,0.0
"F522 Leith II, 281",452571.0,453813.0,455184.0,457331.0,459964.0,463658.0,467993.0,471245.0,474121.0,476925.0,478198.8,479960.0,480927.66,481715.19,483637.0,486041.0,489081.0,492388.0,496082.0,499747.0,502410.0,504615.0,506558.0,508258.0,509511.0,510718.0,513031.0,515722.0,519029.0,522729.0,525870.0,529356.0,531321.0,0.0,0.0,0.0
"F523 Leith III, 279",489232.0,490201.0,491416.0,493049.0,495077.0,498448.0,501532.0,504208.0,506817.0,508685.0,509958.8,511033.0,511792.0,512771.0,514582.0,516778.0,519496.0,521986.0,524644.0,527553.0,529851.0,531606.0,532892.0,533892.0,534477.0,535503.0,536995.0,538832.0,541322.0,544000.0,547000.0,549581.0,552199.0,0.0,0.0,0.0
F742 Cory's container,12230.0,12306.0,12384.0,12492.0,12852.0,13280.0,13777.0,14220.0,14363.0,14577.0,14698.0,14771.0,14800.0,15001.0,15166.8,15285.0,15585.0,16000.0,16604.0,17251.0,17941.0,18468.0,18735.0,18878.0,18970.7,19152.5,19335.0,19654.0,21496.0,21496.0,21636.5,22000.0,22700.0,22959.0,0.0,0.0
F743 Mico's container,8682.0,8868.0,9065.0,9197.0,9444.0,9879.0,10351.0,10638.0,10868.0,11126.0,11345.0,11478.0,11640.0,11786.0,11996.6,12130.8,12413.0,12742.0,13172.0,13612.0,13881.0,14083.0,14247.0,14410.0,14545.6,14703.6,14864.0,15039.9,15553.0,16247.8,17043.3,17747.9,18325.0,18714.0,0.0,0.0
F735 Ex Residence DHW,69350.0,69350.0,69489.0,69640.0,69698.0,69760.0,69810.0,69820.0,69830.0,69835.0,69835.0,69836.0,69836.0,70336.0,71336.0,71346.0,71356.0,71366.0,71376.0,71386.0,71396.0,71406.0,71406.0,71406.0,71406.0,71406.0,71500.0,73017.0,73027.0,73037.0,73047.0,73057.0,73568.0,0.0,0.0,0.0
G507 Archway Building Allen Hall - DB,513.97,515.92,518.34,523.38,529.41,537.69,546.63,554.31,560.89,565.49,566.97,568.84,569.4,570.1,572.37,575.83,582.17,589.51,596.3,605.12,612.08,615.88,616.76,617.36,618.21,619.55,623.19,629.0,637.0,643.0,653.45,661.88,669.0,676.43,0.0,0.0
G507 Archway Building east - DB,476.78,478.88,481.53,485.64,490.21,496.71,504.32,510.62,516.33,521.38,524.06,526.8,528.58,530.36,532.91,536.98,541.98,546.63,552.26,558.46,563.78,568.13,571.65,573.25,576.15,578.35,581.51,585.0,590.0,595.0,599.96,605.37,610.0,615.06,0.0,0.0
K427 Caroline Freeman East Water Heating DB,0.0,155.48,159.1,163.5,169.38,174.0,178.0,184.0,189.0,193.84,196.1,197.0,99.36,155.48,159.1,163.5,169.38,174.0,178.0,184.0,189.0,193.84,196.1,197.0,198.72,200.3,203.9,208.41,214.0,219.0,225.0,233.0,237.0,242.28,244.95,0.0
K427 Caroline Freeman East Kitchen DB A,0.0,47811.03,50413.84,54965.9,59885.85,65630.0,69940.0,75143.0,79479.0,84131.56,87164.0,89799.0,45658.34,47811.03,50413.84,54965.9,59885.85,65630.0,69940.0,75143.0,79479.0,84131.56,87164.0,89799.0,91316.67,93240.9,95959.8,98817.55,102025.0,107747.0,113466.0,120213.0,123766.0,128828.0,131389.52,0.0
K427 Caroline Freeman East Kitchen DB A,0.0,20028.59,21604.13,22042.0,23024.77,24150.0,25017.0,26211.0,27604.0,28811.79,29472.0,30232.0,15357.55,20028.59,21604.13,22042.0,23024.77,24150.0,25017.0,26211.0,27604.0,28811.79,29472.0,30232.0,30715.1,31392.0,32282.0,33079.66,34217.0,35083.0,35997.0,36974.0,37525.0,38319.0,38883.03,0.0
K427 Caroline Freeman East Laundry DB A,0.0,44917.23,48686.13,53493.0,60046.06,66945.0,73245.0,81047.0,88104.0,93233.78,95204.9,97063.0,49209.53,44917.23,48686.13,53493.0,60046.06,66945.0,73245.0,81047.0,88104.0,93233.78,95204.9,97063.0,98419.06,100293.0,104064.0,109030.97,117251.0,124002.0,130866.0,140747.0,146218.0,152290.0,154436.0,0.0
K427 Caroline Freeman East West Block Submain,0.0,99556.24,103007.32,107686.0,115469.5,125508.0,134859.0,146229.0,154216.0,160629.51,163374.0,165443.0,83341.3,99556.24,103007.32,107686.0,115469.5,125508.0,134859.0,146229.0,154216.0,160629.51,163374.0,165443.0,166682.6,168708.0,173856.0,179814.04,191487.0,202251.0,212648.0,227094.0,234456.0,242921.0,246168.0,0.0
K427 Caroline Freeman East South House G Floor,0.0,13531.34,14260.57,15382.0,16949.01,20076.0,22155.0,25049.0,28052.0,30336.49,31624.3,32951.0,16753.5,13531.34,14260.57,15382.0,16949.01,20076.0,22155.0,25049.0,28052.0,30336.49,31624.3,32951.0,33507.0,34534.0,35070.0,35706.35,36973.0,38254.0,40315.0,42839.0,44269.0,46219.0,47950.0,0.0
K427 Caroline Freeman East South House 1st Floor,0.0,17604.67,18351.49,19324.0,20897.9,22660.0,23932.0,25824.0,27028.0,28021.65,28374.3,28576.0,14350.5,17604.67,18351.49,19324.0,20897.9,22660.0,23932.0,25824.0,27028.0,28021.65,28374.3,28576.0,28701.0,29147.0,30595.0,32215.57,35212.0,37376.0,39710.0,42867.0,44651.0,46507.0,46985.0,0.0
