Meter_location,Jan_2022,Feb_2022,Mar_2022,Apr_2022,May_2022,Jun_2022,Jul_2022,Aug_2022,Sep_2022,Oct_2022,Nov_2022,Dec_2022,Jan_2023,Feb_2023,Mar_2023,Apr_2023,May_2023,Jun_2023,Jul_2023,Aug_2023,Sep_2023,Oct_2023,Nov_2023,Dec_2023,Jan_2024,Feb_2024,Mar_2024,Apr_2024,May_2024,Jun_2024,Jul_2024,Aug_2024,Sep_2024,Oct_2024,Nov_2024,Dec_2024
D401  DBG1 Cumberland Offices and Dining:,3817.0,2575.0,4771.0,4146.0,5312.0,4374.0,4775.0,5151.0,4976.0,5090.93,2657.27,2872.87,3233.44,3247.25,4674.18,4071.31,5183.63,4275.35,4597.19,4681.06,4791.05,4810.14,2490.78,1435.58,1314.18,2514.26,4227.78,3621.61,5179.98,3809.19,3783.23,4409.87,3374.13,4544.05,0.0,0.0
D401 Cumberland DHW Electric Castle Wing,0.0,9471.95,35430.45,5440.39,67.69,777.9,195.47,1462.9,2500.01,1677.01,985.26,1451.24,593.95,9471.95,35430.45,5440.39,67.69,777.9,195.47,1462.9,2500.01,1677.01,985.26,1451.24,1187.9,2679.32,4966.14,4365.11,8161.7,3454.3,2473.84,4773.98,3479.78,820.53,0.0,0.0
D401 Cumberland Kitchen Submain:,2885.0,8781.0,14585.0,12374.0,13985.0,11839.0,12741.0,13310.0,13001.0,13817.37,6339.92,2888.14,2870.37,8565.73,14515.44,12334.27,13934.74,11784.4,11927.06,12933.14,13010.4,13955.87,6140.51,2898.5,2243.49,7820.61,12820.86,10333.28,12924.54,9832.19,8696.06,11722.11,9858.66,12395.49,0.0,0.0
D401 Cumberland Laundry Submain:,564.0,1531.0,5097.0,4140.0,5709.0,4457.0,4601.0,5647.0,5456.0,5889.17,2037.69,747.49,406.9,2133.03,6193.77,4786.88,6994.93,5193.02,5346.24,7145.47,6525.16,6232.07,2712.21,225.95,355.53,2101.43,5873.09,4287.66,6775.06,4277.61,2987.36,5874.9,4265.3,6426.61,0.0,0.0
D401 D404 Cumberland Castle Wing North Submain:,3075.0,3557.0,5703.0,5246.0,7004.0,6535.0,6881.0,7009.0,7050.0,7246.68,4688.64,2524.34,2543.63,4065.68,3831.06,5081.93,7180.35,5968.48,6545.95,6949.82,6742.45,6518.86,3977.86,2877.65,2622.86,3853.25,5335.15,4917.87,6730.45,5715.38,5140.53,6797.36,5182.38,6621.86,0.0,0.0
D401 D404 Cumberland Castle Wing South submain:,3032.0,3860.0,6549.0,5856.0,7199.0,5974.0,6680.0,7201.0,6549.0,6753.57,4574.16,2508.53,3292.34,4646.86,5893.94,5425.29,6562.39,5872.37,7070.34,7149.5,6545.94,6909.17,3834.8,2189.79,2038.74,4091.06,6199.36,5128.42,6976.11,5209.78,4414.78,6251.44,4836.9,6448.08,0.0,0.0
D401 DBH-G1 Cumberland Accomodation:,3183.0,3781.0,4332.0,4444.0,5584.0,5727.0,6012.0,6174.0,6046.0,5458.71,3608.98,3195.28,2759.6,3601.1,5321.75,6091.37,6837.3,6944.67,7233.8,7452.5,6086.58,6456.98,4127.65,3028.4,2329.62,3227.1,4990.51,4767.2,7688.99,5492.11,5648.16,6407.42,4943.22,5248.88,0.0,0.0
D401/4 Cumberland College:,18254.0,25892.0,43618.0,38677.0,48274.0,42235.0,45103.0,47596.0,45876.0,47105.54,26376.7,16387.84,17804.29,38319.87,81778.43,46207.36,48256.38,43278.59,45391.74,50438.79,48564.61,49279.36,26082.82,15857.54,13789.44,28045.57,46808.32,24746.75,57135.49,43056.89,42664.45,45522.95,0.0,13202.94,0.0,0.0
D402 Hayward DB Basement (part of MSB):,603.0,1181.0,2943.0,2603.0,3269.0,2536.0,2754.0,3446.0,3213.0,3337.87,2200.83,2172.28,836.12,1607.15,3843.88,4605.55,5300.91,3379.9,3056.78,3666.38,3403.44,3627.78,2145.83,712.74,1923.41,3061.72,3305.59,3345.14,3955.34,2882.25,2696.72,4154.4,3546.24,3869.59,0.0,0.0
D402 Hayward DB DHW,0.0,0.0,0.0,0.0,0.0,0.0,4.21,12.47,12.08,4758.03,456.33,916.66,6.84,6.88,6.06,6.63,2018.34,7759.48,4.21,12.47,12.08,4758.03,456.33,916.66,13.69,13.77,12.13,13.26,4036.69,15518.96,14736.73,2477.02,39.11,33.66,0.0,0.0
