Meter_location,Jan_2022,Feb_2022,Mar_2022,Apr_2022,May_2022,Jun_2022,Jul_2022,Aug_2022,Sep_2022,Oct_2022,Nov_2022,Dec_2022,Jan_2023,Feb_2023,Mar_2023,Apr_2023,May_2023,Jun_2023,Jul_2023,Aug_2023,Sep_2023,Oct_2023,Nov_2023,Dec_2023,Jan_2024,Feb_2024,Mar_2024,Apr_2024,May_2024,Jun_2024,Jul_2024,Aug_2024,Sep_2024,Oct_2024,Nov_2024,Dec_2024
 H402 St David II DB G:,3606.8,3349.28,1.0,1.0,1979.0,3502.0,3640.0,3534.0,3354.0,3598.38,3572.04,3561.76,3606.8,3349.28,3661.29,3602.26,3725.27,3551.44,3450.73,3536.92,3259.1,3377.14,3329.76,3294.86,3579.94,3273.88,3463.2,3418.05,3589.35,3400.14,3544.98,3657.54,3435.73,3651.2,0.0,0.0
F813 Bill Robertson Library 1 MSB:,23896.0,41009.0,45788.83,55406.17,45911.0,42061.0,23995.0,40635.0,42556.85,30000.0,25056.78,28787.15,29568.1,35017.51,40530.64,36706.53,43112.02,40615.52,35981.25,42779.2,39511.27,41467.78,35617.89,26966.18,28010.66,32932.86,38208.32,36607.43,41156.86,40019.52,35773.12,40405.5,41482.43,42255.17,0.0,0.0
F813 Bill Robertson Library DB1:,14934.88,18226.09,22036.58,20753.73,22495.6,20724.92,18767.3,22483.3,20676.59,0.0,20342.91,14415.87,14934.88,18226.09,22036.58,20753.73,22495.6,20724.92,18767.3,22483.3,20676.59,22207.46,18124.02,13850.1,13776.8,17002.85,20268.86,19669.98,20437.47,19957.31,16312.45,19803.42,19036.83,20030.5,0.0,0.0
F813 Bill Robertson Library MCC1:,5756.21,6378.46,6971.48,6091.92,7971.29,8363.13,7861.77,9115.52,8066.7,7939.45,8403.76,6039.95,5756.21,6378.46,6971.48,6091.92,7971.29,8363.13,7861.77,9115.52,8066.7,7939.45,7711.33,6150.94,5966.76,6535.86,7782.98,6347.73,9389.36,9255.97,9990.06,9517.06,10543.47,9981.23,0.0,0.0
F813 Bill Robertson Library MCC2:,5920.46,7150.13,8233.56,7322.59,8710.84,7794.03,6454.4,7789.76,7447.41,8014.81,9017.31,5514.49,5920.46,7150.13,8233.56,7322.59,8710.84,7794.03,6454.4,7789.76,7447.41,8014.81,6588.58,4707.13,5387.98,6402.14,7123.86,7484.14,7489.26,7175.15,5759.98,7244.16,7395.34,7818.42,0.0,0.0
F900 College of Education:,41218.0,42817.0,52080.0,50826.0,65791.0,68473.0,78740.0,77890.0,72182.0,64169.73,54991.87,45253.89,42995.71,44410.37,61436.41,56999.43,71126.53,72977.41,77682.69,78244.87,66817.54,64708.61,58582.02,48693.25,48257.54,51019.78,64135.17,66313.73,82352.64,76380.67,83773.95,88843.27,76053.51,70326.27,0.0,0.0
F903 CoE Drama (Drama Centre and Theatre/ Childcare:,1850.0,2066.0,2365.0,2359.0,3173.0,3778.0,5130.0,4591.0,4368.0,3231.41,2382.58,1845.55,1575.84,1793.74,3119.3,2774.46,4464.83,4320.83,4790.53,4741.47,4241.73,3131.46,2579.87,1796.06,1579.07,2046.27,3073.25,3359.55,5081.89,3550.85,4719.2,6342.34,5275.84,1434.27,0.0,0.0
"F904 CoE Childcare (Fed from Drama, For Oncharging)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,539.0,720.58,822.86,1320.46,1090.26,1249.65,1210.45,907.76,889.46,0.0,0.0,80.0,1078.0,1441.15,1645.73,2640.93,2180.51,2499.3,2420.9,1815.52,1778.91,0.0,0.0
F905 CoE Auditorium Lights:,1348.0,1386.0,1407.0,1292.0,1409.0,1502.0,2083.0,2177.0,1849.0,1727.81,1593.2,1428.53,1617.06,1535.01,1527.23,1397.3,1837.58,1676.83,1674.74,1488.32,1668.91,1456.74,1312.05,1448.4,1497.44,1564.34,1614.61,1702.37,1887.58,1863.92,1888.72,1954.64,1766.03,535.46,0.0,0.0
F905 CoE Auditorium power:,1918.0,2395.0,2502.0,2246.0,3247.0,1913.0,3193.0,3278.0,3771.0,2749.31,1807.6,2052.43,1896.45,1920.58,3157.9,2524.51,3763.65,2683.6,3614.59,3026.4,3601.26,2499.63,2233.42,1912.7,1853.2,2268.05,3195.25,2805.31,3957.57,1905.94,2978.21,3743.95,3538.21,775.04,0.0,0.0
