Automated Meter Location,Boiler location,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24
E811.TE.RANGIHIROA.LTHW.PMP0.3 Ground,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.7,49.0,63.6,72.1,79.2,86.43,94.56999969,106.3600006,129.1999969,169.0,204.2599945,233.5500031,263.5,285.5899963,304.7200012,0,0
E811.TE.RANGIHIROA.LTHW.PMP0.4  L1-6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.2,218.0,346.4,399.3,443.6,479.29,523.2099609,577.8599854,646.539978,756.32,861.7999878,968.4799805,1082.380005,1169.98999,1247.929932,0,0
E811.TE.RANGIHIROA.MTHW HX0.1a,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.8,190.0,283.9,333.6,359.4,377.29,395.6499939,421.5699768,460.0899963,526.52,610.4599609,647.9599609,727.289978,728.4899902,728.4899902,0,0
E811.TE.RANGIHIROA.MTHW HX0.1b,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.5,139.0,178.2,190.5,211.5,232.6,260.4299927,296.4700012,345.519989,427.45,483.2599792,580.289978,643.7600098,747.9599609,839.75,0,0
E811.TE.RANGIHIROA.MTHW HX0.2 DHW,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.4,38.0,56.5,61.3,62.7,70.93,99.65000153,139.3099976,185.3300018,234.23,278.2799988,325.1199951,383.7599792,435.0,489.0899963,0,0
F603.ENERGY.MTR.ENERGY,PS,874360.0,874400.0,875117.0,877878.0,883462.0,894317.0,906951.0,917951.0,928719.0,939191.0,945896.0,947251.0,948205.0,948322.0,955658.0,974369.0,1001765.0,1006170.0,1006198.0,1014575.0,1050219.0,1076697.0,1101338.0,1113156.0,1126757.0,1147706.0,1160402.0,1166912.0,1178645.0,1189089.0,1204464.0,1212224.0,1218631.0,1227854.0,0,0
F614.LTHW.HEAT_MTR.ENERGY,OBS,892.56,898.46,904.77,915.98,930.44,946.54,970.49,991.18,1007.17,1021.42,1026.5,1031.88,1034.25,1036.58,1043.44,1053.63,1068.34,1087.04,1109.25,1128.34,1144.45,1157.37,1167.08,1176.2,1176.2,1176.199951,1189.98999,1203.909912,1223.43,1241.51001,1262.319946,1277.449951,1289.25,1300.339966,0,0
F622.ENERGY.AHU2C.CLG_kWh,0,121880.0,123470.0,124270.0,124270.0,124340.0,124340.0,124370.0,124390.0,124400.0,124680.0,125780.0,126930.0,129530.0,133390.0,134860.0,134950.0,135200.0,135220.0,135220.0,135220.0,135680.0,136070.0,136190.0,137130.0,139580.0,142050.0,142150.0,142250.0,142250.0,142250.0,142250.0,142250.0,142380.0,142600.0,0,0
F622.ENERGY.AHU2C.HTG_kWh,0,3278658.0,3291767.0,3308236.0,3325767.0,3352993.0,3387291.0,3421001.0,3449536.0,3477113.0,3503472.0,3518666.0,3534559.0,3543345.0,3547209.0,3562335.0,3584711.0,3612508.0,3646637.0,3684990.0,3725182.0,3755166.0,3780345.0,3805333.0,3821006.0,3833192.0,3849234.0,3869169.0,3894995.0,3933184.0,3967352.0,4005029.0,4040486.0,4069066.0,4095535.0,0,0
F622.ENERGY.ANIMAL_2C.kWh,0,191348.0,193499.0,196089.0,198380.0,201549.0,205349.0,209692.0,213146.0,216685.0,219224.0,219875.0,220579.0,221605.0,222281.0,224038.0,226828.0,229867.0,233221.0,236805.0,240551.0,243525.0,246309.0,249160.0,251538.0,253562.0,255873.0,258242.0,261126.0,264723.0,268328.0,272167.0,275712.0,279335.0,284490.0,0,0
