,,Month,F204 444 Great King Street - kWh,F813 Bill Robertson Library 1 MSB:,F419 ISB West Excluding Shops,F505 Richardson Library Block Rising Main:,F518 Arts 1 Submains MSB:,"F516 97 Albany & F517 99 Albany, F513 262 Leith Walk:",F614 1 School of Business Incomer 1 (Lower floors):,F614 2 School of Business Incomer 2 (Upper floors):,F618 1  Psychology substation- Goddard:,F505 1 Richardson Mains:,G506/07 Archway buildings (incl. Allen & Marama Hall):,F315 Botany Tin Hut - kWh,F325 Physical Education - kWh,F711 Executive Residence - kWh,F812 UOCOE Owheo Building - kWh,F813 UOCOE Robertson Library - kWh,F940 Plaza Building - kWh,F9XX College of Education main (Boiler room) - kWh,G401 Mellor Laboratories - kWh,G505 Geology north:,G505 Geology south:,G403 Biochemistry - kWh,G404 Microbiology - kWh,G413 Science 2 - kWh,G608 St Margarets College - kWh,G60X UNICOL - kWh,H41X Selwyn College - kWh E2,H633 Arana College main - kWh,H71X Studholm College - kWh E2
F204 444 Great King Street - kWh,14,Mar-23,119858.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F204 444 Great King Street - kWh,15,Apr-23,114857.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F204 444 Great King Street - kWh,16,May-23,119288.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F204 444 Great King Street - kWh,17,Jun-23,116037.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F813 Bill Robertson Library 1 MSB:,2,Mar-22,,45788.83,,,,,,,,,,,,,,,,,,,,,,,,,,,
F813 Bill Robertson Library 1 MSB:,3,Apr-22,,55406.17,,,,,,,,,,,,,,,,,,,,,,,,,,,
F813 Bill Robertson Library 1 MSB:,4,May-22,,45911.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
F419 ISB West Excluding Shops,7,Aug-22,,,75562.0,,,,,,,,,,,,,,,,,,,,,,,,,,
F419 ISB West Excluding Shops,9,Oct-22,,,75168.18,,,,,,,,,,,,,,,,,,,,,,,,,,
F419 ISB West Excluding Shops,14,Mar-23,,,71311.41,,,,,,,,,,,,,,,,,,,,,,,,,,
F419 ISB West Excluding Shops,16,May-23,,,74385.01,,,,,,,,,,,,,,,,,,,,,,,,,,
F505 Richardson Library Block Rising Main:,7,Aug-22,,,,15491.0,,,,,,,,,,,,,,,,,,,,,,,,,
F505 Richardson Library Block Rising Main:,16,May-23,,,,15011.97,,,,,,,,,,,,,,,,,,,,,,,,,
F505 Richardson Library Block Rising Main:,19,Aug-23,,,,15174.93,,,,,,,,,,,,,,,,,,,,,,,,,
F518 Arts 1 Submains MSB:,18,Jul-23,,,,,28881.02,,,,,,,,,,,,,,,,,,,,,,,,
F518 Arts 1 Submains MSB:,19,Aug-23,,,,,29567.9,,,,,,,,,,,,,,,,,,,,,,,,
F518 Arts 1 Submains MSB:,28,May-24,,,,,29080.7,,,,,,,,,,,,,,,,,,,,,,,,
F518 Arts 1 Submains MSB:,29,Jun-24,,,,,28928.58,,,,,,,,,,,,,,,,,,,,,,,,
F518 Arts 1 Submains MSB:,30,Jul-24,,,,,29561.66,,,,,,,,,,,,,,,,,,,,,,,,
F518 Arts 1 Submains MSB:,31,Aug-24,,,,,29324.35,,,,,,,,,,,,,,,,,,,,,,,,
F518 Arts 1 Submains MSB:,33,Oct-24,,,,,28894.98,,,,,,,,,,,,,,,,,,,,,,,,
"F516 97 Albany & F517 99 Albany, F513 262 Leith Walk:",5,Jun-22,,,,,,3403.0,,,,,,,,,,,,,,,,,,,,,,,
"F516 97 Albany & F517 99 Albany, F513 262 Leith Walk:",6,Jul-22,,,,,,3595.0,,,,,,,,,,,,,,,,,,,,,,,
"F516 97 Albany & F517 99 Albany, F513 262 Leith Walk:",7,Aug-22,,,,,,3815.0,,,,,,,,,,,,,,,,,,,,,,,
"F516 97 Albany & F517 99 Albany, F513 262 Leith Walk:",30,Jul-24,,,,,,4558.11,,,,,,,,,,,,,,,,,,,,,,,
"F516 97 Albany & F517 99 Albany, F513 262 Leith Walk:",31,Aug-24,,,,,,4973.25,,,,,,,,,,,,,,,,,,,,,,,
"F516 97 Albany & F517 99 Albany, F513 262 Leith Walk:",32,Sep-24,,,,,,3683.2,,,,,,,,,,,,,,,,,,,,,,,
"F516 97 Albany & F517 99 Albany, F513 262 Leith Walk:",33,Oct-24,,,,,,3430.02,,,,,,,,,,,,,,,,,,,,,,,
F614 1 School of Business Incomer 1 (Lower floors):,6,Jul-22,,,,,,,76809.0,,,,,,,,,,,,,,,,,,,,,,
F614 1 School of Business Incomer 1 (Lower floors):,7,Aug-22,,,,,,,74135.0,,,,,,,,,,,,,,,,,,,,,,
F614 1 School of Business Incomer 1 (Lower floors):,28,May-24,,,,,,,86793.22,,,,,,,,,,,,,,,,,,,,,,
F614 1 School of Business Incomer 1 (Lower floors):,30,Jul-24,,,,,,,76777.98,,,,,,,,,,,,,,,,,,,,,,
F614 1 School of Business Incomer 1 (Lower floors):,31,Aug-24,,,,,,,77723.13,,,,,,,,,,,,,,,,,,,,,,
F614 2 School of Business Incomer 2 (Upper floors):,6,Jul-22,,,,,,,,63677.0,,,,,,,,,,,,,,,,,,,,,
F614 2 School of Business Incomer 2 (Upper floors):,18,Jul-23,,,,,,,,62631.43,,,,,,,,,,,,,,,,,,,,,
F614 2 School of Business Incomer 2 (Upper floors):,19,Aug-23,,,,,,,,71435.27,,,,,,,,,,,,,,,,,,,,,
F614 2 School of Business Incomer 2 (Upper floors):,28,May-24,,,,,,,,74491.91,,,,,,,,,,,,,,,,,,,,,
F614 2 School of Business Incomer 2 (Upper floors):,29,Jun-24,,,,,,,,59953.15,,,,,,,,,,,,,,,,,,,,,
F614 2 School of Business Incomer 2 (Upper floors):,30,Jul-24,,,,,,,,67025.92,,,,,,,,,,,,,,,,,,,,,
F614 2 School of Business Incomer 2 (Upper floors):,31,Aug-24,,,,,,,,65711.62,,,,,,,,,,,,,,,,,,,,,
F618 1  Psychology substation- Goddard:,19,Aug-23,,,,,,,,,120033.28,,,,,,,,,,,,,,,,,,,,
F618 1  Psychology substation- Goddard:,28,May-24,,,,,,,,,120805.38,,,,,,,,,,,,,,,,,,,,
F618 1  Psychology substation- Goddard:,30,Jul-24,,,,,,,,,116712.45,,,,,,,,,,,,,,,,,,,,
F618 1  Psychology substation- Goddard:,31,Aug-24,,,,,,,,,114256.9,,,,,,,,,,,,,,,,,,,,
F505 1 Richardson Mains:,7,Aug-22,,,,,,,,,,74224.0,,,,,,,,,,,,,,,,,,,
F505 1 Richardson Mains:,19,Aug-23,,,,,,,,,,72911.62,,,,,,,,,,,,,,,,,,,
F505 1 Richardson Mains:,28,May-24,,,,,,,,,,74567.68,,,,,,,,,,,,,,,,,,,
G506/07 Archway buildings (incl. Allen & Marama Hall):,5,Jun-22,,,,,,,,,,,35370.0,,,,,,,,,,,,,,,,,,
G506/07 Archway buildings (incl. Allen & Marama Hall):,6,Jul-22,,,,,,,,,,,36617.0,,,,,,,,,,,,,,,,,,
G506/07 Archway buildings (incl. Allen & Marama Hall):,7,Aug-22,,,,,,,,,,,36603.0,,,,,,,,,,,,,,,,,,
G506/07 Archway buildings (incl. Allen & Marama Hall):,18,Jul-23,,,,,,,,,,,34456.06,,,,,,,,,,,,,,,,,,
G506/07 Archway buildings (incl. Allen & Marama Hall):,19,Aug-23,,,,,,,,,,,39190.02,,,,,,,,,,,,,,,,,,
G506/07 Archway buildings (incl. Allen & Marama Hall):,28,May-24,,,,,,,,,,,35089.41,,,,,,,,,,,,,,,,,,
G506/07 Archway buildings (incl. Allen & Marama Hall):,30,Jul-24,,,,,,,,,,,32735.74,,,,,,,,,,,,,,,,,,
F315 Botany Tin Hut - kWh,5,Jun-22,,,,,,,,,,,,49167.004,,,,,,,,,,,,,,,,,
F315 Botany Tin Hut - kWh,6,Jul-22,,,,,,,,,,,,53740.892,,,,,,,,,,,,,,,,,
F315 Botany Tin Hut - kWh,18,Jul-23,,,,,,,,,,,,49414.532,,,,,,,,,,,,,,,,,
F315 Botany Tin Hut - kWh,19,Aug-23,,,,,,,,,,,,52117.708,,,,,,,,,,,,,,,,,
F315 Botany Tin Hut - kWh,29,Jun-24,,,,,,,,,,,,47224.96,,,,,,,,,,,,,,,,,
F315 Botany Tin Hut - kWh,30,Jul-24,,,,,,,,,,,,52179.888,,,,,,,,,,,,,,,,,
F325 Physical Education - kWh,5,Jun-22,,,,,,,,,,,,,52347.808,,,,,,,,,,,,,,,,
F325 Physical Education - kWh,6,Jul-22,,,,,,,,,,,,,56881.52,,,,,,,,,,,,,,,,
