Automated Meter Location,Boiler location,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-26
E811.TE.RANGIHIROA.CH6.1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,8.7,9.8,9.86,9.86,29.01000023,41.68000031,54.64999771,62.09,65.22000122,70.22999573,76.44999695,82.47000122,93.50999451,0,0,0
E811.TE.RANGIHIROA.CH6.2 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,3,5.8,8.8,24.7,54,61.72999954,61.75,61.75,61.76,61.77000046,61.7899971,61.7899971,61.80999756,61.81999969,0,0,0
E811.TE.RANGIHIROA.LTHW.PMP0.3 Ground,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.7,49,63.6,72.1,79.2,86.43,94.56999969,106.3600006,129.1999969,169,204.2599945,233.5500031,263.5,285.5899963,304.7200012,0,0,0
E811.TE.RANGIHIROA.LTHW.PMP0.4  L1-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.2,218,346.4,399.3,443.6,479.29,523.2099609,577.8599854,646.539978,756.32,861.7999878,968.4799805,1082.380005,1169.98999,1247.929932,0,0,0
E811.TE.RANGIHIROA.MTHW HX0.1a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.8,190,283.9,333.6,359.4,377.29,395.6499939,421.5699768,460.0899963,526.52,610.4599609,647.9599609,727.289978,728.4899902,728.4899902,0,0,0
E811.TE.RANGIHIROA.MTHW HX0.1b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.5,139,178.2,190.5,211.5,232.6,260.4299927,296.4700012,345.519989,427.45,483.2599792,580.289978,643.7600098,747.9599609,839.75,0,0,0
E811.TE.RANGIHIROA.MTHW HX0.2 DHW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4,38,56.5,61.3,62.7,70.93,99.65000153,139.3099976,185.3300018,234.23,278.2799988,325.1199951,383.7599792,435,489.0899963,0,0,0
F603.ENERGY.MTR.ENERGY,PS,874360,874400,875117,877878,883462,894317,906951,917951,928719,939191,945896,947251,948205,948322,955658,974369,1001765,1006170,1006198,1014575,1050219,1076697,1101338,1113156,1126757,1147706,1160402,1166912,1178645,1189089,1204464,1212224,1218631,1227854,0,0,0
F614.LTHW.HEAT_MTR.ENERGY,OBS,892.56,898.46,904.77,915.98,930.44,946.54,970.49,991.18,1007.17,1021.42,1026.5,1031.88,1034.25,1036.58,1043.44,1053.63,1068.34,1087.04,1109.25,1128.34,1144.45,1157.37,1167.08,1176.2,1176.2,1176.199951,1189.98999,1203.909912,1223.43,1241.51001,1262.319946,1277.449951,1289.25,1300.339966,0,0,0
F622.ENERGY.AHU2C.CLG_kWh,0,121880,123470,124270,124270,124340,124340,124370,124390,124400,124680,125780,126930,129530,133390,134860,134950,135200,135220,135220,135220,135680,136070,136190,137130,139580,142050,142150,142250,142250,142250,142250,142250,142380,142600,0,0,0
