Building,2022-01-01 00:00:00,2022-02-01 00:00:00,2022-03-01 00:00:00,2022-04-01 00:00:00,2022-05-01 00:00:00,2022-06-01 00:00:00,2022-07-01 00:00:00,2022-08-01 00:00:00,2022-09-01 00:00:00,2022-10-01 00:00:00,2022-11-01 00:00:00,2022-12-01 00:00:00,2023-01-01 00:00:00,2023-02-01 00:00:00,2023-03-01 00:00:00,2023-04-01 00:00:00,2023-05-01 00:00:00,2023-06-01 00:00:00,2023-07-01 00:00:00,2023-08-01 00:00:00,2023-09-01 00:00:00,2023-10-01 00:00:00,2023-11-01 00:00:00,2023-12-01 00:00:00,2024-01-01 00:00:00,2024-02-01 00:00:00,2024-03-01 00:00:00,2024-04-01 00:00:00,2024-05-01 00:00:00,2024-06-01 00:00:00,2024-07-01 00:00:00,2024-08-01 00:00:00,2024-09-01 00:00:00,2024-10-01 00:00:00,2024-11-01 00:00:00,2024-12-01 00:00:00,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00
,91963.0,97255.0,106805.0,102709.0,112553.0,110685.0,112293.0,113200.0,106221.0,108422.65625,89097.7265625,77693.44,84166.14,89754.63,109201.92,101480.96,114368.0,114982.4,113202.69,117722.63,105953.28,109537.79,89532.93,80552.96,87916.55,91888.13,100194.81,101898.24,114905.09,106110.46,119635.45,116915.2,108339.2,105785.86,131271.50733333334,212101.5,212101.5,212101.5,212101.5,212101.5,212101.5
,11451.0,10752.0,13348.0,13057.0,13848.0,13419.0,12548.0,12567.0,12959.0,13173.568359375,11768.4482421875,12811.71,14229.06,13243.84,14382.08,13327.74,14224.26,13416.96,13738.18,13735.3,13220.16,13699.9,13120.58,13133.44,14035.65,12685.89,13911.55,14444.8,14895.49,14329.73,13288.45,12860.74,12333.76,13416.96,14171.0,212101.5,212101.5,212101.5,212101.5,212101.5,212101.5
,11469.0,10134.0,11889.0,12093.0,12089.0,11393.0,11522.0,10871.0,11083.0,11531.328125,10817.7919921875,11385.86,11051.39,10700.03,12458.3,11041.22,12129.86,10886.4,10821.89,11171.84,10650.88,10820.35,10859.46,11688.51,11527.42,11255.87,11627.78,10958.08,11451.84,10740.42,11563.26,11592.9,11029.57,11792.45,14171.0,212101.5,212101.5,212101.5,212101.5,212101.5,212101.5
,1524.0,1590.0,1921.0,1536.0,2100.0,1663.0,1776.0,1952.0,1758.0,876.10400390625,1839.4560546875,1410.9,1409.47,1529.61,2076.42,2141.33,2127.18,1759.96,1877.98,2106.74,1936.1,1847.46,1660.21,1355.9,1414.1,1684.41,1830.1,1733.06,2054.19,1698.83,1912.02,2082.34,2071.3,2140.48,1389.0,212101.5,212101.5,212101.5,212101.5,212101.5,212101.5
,14587.0,14911.0,14992.0,14070.0,17734.0,19694.0,23227.0,21571.0,19958.0,19646.52734375,15384.064453125,14723.65,13668.35,14090.18,18803.78,17882.82,23062.53,23881.73,24000.38,25418.24,20071.68,19206.78,17596.67,14762.62,15166.59,14274.3,15725.31,17119.49,21596.29,19275.26,20567.04,19696.38,15828.1,15411.33,14171.0,212101.5,212101.5,212101.5,212101.5,212101.5,212101.5
,34052.0,35765.0,37406.0,36843.0,38592.0,37011.0,36091.0,35705.0,33055.0,20718.46484375,29848.576171875,25713.28,25813.38,26859.65,33378.43,31614.21,34442.24,36393.21,35331.33,37427.46,31015.17,31265.79,28047.36,25273.09,26732.03,27025.92,30293.5,31981.06,36874.5,33641.73,43234.3,43072.0,39928.06,33831.94,44606.00866666667,212101.5,212101.5,212101.5,212101.5,212101.5,212101.5
,24926.0,25682.0,26736.0,27265.0,30835.0,31766.0,29716.0,24678.0,21033.0,22224.384765625,19474.943359375,15166.72,15520.26,15487.23,17915.39,16895.49,19286.53,18815.23,20961.54,23029.76,18920.96,19170.56,17495.55,16301.82,16020.74,16261.12,20052.48,20973.06,22841.6,20963.07,20694.02,23576.58,24952.58,7078.4,14171.0,212101.5,212101.5,212101.5,212101.5,212101.5,212101.5
,19027.0,24614.0,27198.0,25092.0,28334.0,27372.0,27052.0,27505.0,25932.0,25789.3125,19667.072265625,11486.59,17846.53,22985.47,27366.4,24957.57,28025.09,28355.2,27177.47,27700.35,27282.43,28267.78,19661.31,13290.62,19424.77,24473.86,26240.77,25672.96,27847.68,25988.48,27605.12,28539.01,27241.22,28818.05,44998.342000000004,212101.5,212101.5,212101.5,212101.5,212101.5,212101.5
,83003.0,91273.0,105411.0,103240.0,123336.0,119763.0,128629.0,129350.0,121421.0,122362.8828125,103203.84375,91644.93,94995.45,94465.02,111723.52,112121.86,130594.81,130812.93,136863.75,140831.75,125416.45,121571.33,113524.73,105088.0,110136.32,109375.48,120841.22,118115.33,137077.77,123285.51,142147.58,139694.08,124954.63,32757.76,131271.50733333334,212101.5,212101.5,212101.5,212101.5,212101.5,212101.5
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4895.85,13794.24,11699.3,8110.29,6189.95,4087.46,4114.75,4182.07,4894.58,5666.28,7065.52,5542.0,212101.5,212101.5,212101.5,212101.5,212101.5,212101.5
