Meter_location,Jan_2022,Feb_2022,Mar_2022,Apr_2022,May_2022,Jun_2022,Jul_2022,Aug_2022,Sep_2022,Oct_2022,Nov_2022,Dec_2022,Jan_2023,Feb_2023,Mar_2023,Apr_2023,May_2023,Jun_2023,Jul_2023,Aug_2023,Sep_2023,Oct_2023,Nov_2023,Dec_2023,Jan_2024,Feb_2024,Mar_2024,Apr_2024,May_2024,Jun_2024,Jul_2024,Aug_2024,Sep_2024,Oct_2024,Nov_2024,Dec_2024
 Total Gas Energy - DN,267055.75,267055.75,272338.73,535314.41,284853.4,365154.52,408923.9,403953.48,485490.34,383857.62,398442.35,242447.51,281549.5,267110.34,254303.16,273815.95,323616.42,306719.33,323355,410408,389175,351762,347413,306124,260482,189425,213297,234802,315945,342520,362369,359128,405043,382578,309866,274285.75
"56A TE AWE AWE STREET,HOKOWHITU,PALMERSTON NORTH",343.43,343.43,343.43,343.43,343.43,343.43,343.43,263.3,686.87,480.81,412.12,503.7,22.9,297.64,57.24,171.72,423.57,297.64,438,404,609,458,80,247,67,201,200.34,257.58,383.5,320.54,390.72,333.65,647.93,469.4,246.06,375.35
"AQUINAS 74 GLADSTONE ROAD,DUNEDIN",2926.78,2926.78,4656.24,8602.96,7538.68,12150.58,9578.56,10421.11,12727.06,11618.43,11529.74,5498.8,3503.27,3325.89,4789.28,8602.96,8425.58,9933.32,9578.56,10421.11,12727.06,35872,13238,5341,1288,3126.33,4722.76,8602.96,7982.13,11041.95,9578.56,10421.11,12727.06,23745.22,12383.87,5419.9
"ARANA 110 CLYDE STREET,DUNEDIN",3168.64,3168.64,8226.27,12004.27,10237.14,14654.95,12430.81,9627.79,10359.01,9079.37,9201.24,5910.73,3534.25,1286,20041.13,7891.13,9384.04,9323.11,9379,9413,10068,8775,10152,4824,4748,2227.32,14133.7,9947.7,9810.59,11989.03,10904.91,9520.39,10213.51,8927.18,9676.62,5367.36
"CHILDCARE CENTRE,563 CASTLE STREET,DUNEDIN",9025.41,137.85,5852.41,13231.32,19130.86,8360.66,7013,597.82,39.85,358.69,597.82,39.85,597.82,79.71,10999.82,26383.64,31564.71,7851.32,7660,3569,4430,40,600,13237,17453,196,705,79,6697,8870,6366,3245,80,79,394,6638.43
D204 LFB Gas,18.52,3.09,58.64,3.09,5.56,3.7,3.09,0,0,21.3,16.05,12.04,18.52,3.09,5.25,4.01,5.56,3.7,3.09,0,0,21.3,16.05,12.04,18.52,3.09,3.7,3.55,5.56,3.7,3.09,0,0,21.3,16.05,12.04
"D206, MEDICAL SCHOOL (HERCUS) HANOVER",0,0,0,0,0,0,0,17871,18416,20138,17010,0,0,0,0,0,0,0,0,17871,18416,20138,17010,0,0,0,0,0,0,0,0,17871,18416,20138,17010,0
"DENTAL 310 GREAT KING STREET,DUNEDIN NORTH,DUNEDIN",4360.87,1432.73,744.8,1523.45,6026.1,1958.53,1979.59,1546.31,52943.55,19393.99,8619.98,2880,6639.73,661.45,1015.64,1049.49,6026.1,2166.69,1983,4049,2660,2573,2912,2880,2082,2204,2205,2082,6026.1,1798,1981.3,240,239,1660,1552,2880
"E208/12,ZOOLOGY (BENHAM BLDG),346 GREAT KING",42008,42008,35532.19,38481.9,51501.33,58756.95,99171.42,96357.33,85745.14,85982.47,78523.42,61774.47,54925.71,46178.28,36922.28,43703.24,65741.33,67809.52,89873,113153,112043,81100,74463,65645,49309,48800,50142,51578,62078,75430,97711,90596,94123,80301,73151,53833.63
"E208/12,ZOOLOGY (BENHAM BLDG),346 GREAT KING",48269.11,33430.09,38820.95,53603.43,69708.19,94933.33,109139.42,82998.85,91814.09,75573.71,54993.52,60791.23,28954.66,37329.14,56993.9,59672.38,77302.85,94933.33,114259.04,111377.14,75675.42,75675.42,60892.95,27123.81,66148.19,55603.81,59062.09,55773.33,94560.37,80320.38,102019.42,94526.47,94526.47,51094.47,68404.78,53833.63
"E213,PARKER BUILDING,344 GREAT KING",8116.92,8116.92,5472.08,5593.69,6353.7,6080.09,8208.13,3587.26,7660.92,7934.52,7356.91,6840.11,6049.69,6080.09,60.8,6577.27,7608.37,3344.05,8465,8880,8416,7175,7250,7818,5248,5152.88,269,6792,8371,8717,10700,9299,11375,12133,11472,6111.76
"E213,PARKER BUILDING,344 GREAT KING",4715.9,5137.68,5532.88,6536.1,6961.71,6080.09,6232.1,7752.12,30.4,15656.24,6262.5,7356.91,2675.24,5152.88,3878.18,6577.27,5624.09,7296.11,10336.16,7569.72,7569.72,7995.32,7296.11,2432.04,1489.62,1276.82,8056.12,7387.31,10731.36,8633.73,1180966.93,1255204.87,1327284.37,1361241.7,7927.5,6111.76
E325 Eccles Gas meter,222265.06,234041.41,263935.46,275812.19,310081.88,387262.23,401602.55,372774.83,335931.23,347219.64,232129.36,274782.63,239299.52,210030.56,235953.45,259228.89,272668.35,316512.97,349996.88,370806.53,310016.43,287843.35,260412.16,253161.84,205230.6,218666.01,263469.22,268427.29,340689.28,323470.23,365428.17,383088.83,354242.72,302360.17,246270.76,263972.23
