Meter_location,Mean_Consumption
D201 Adams Lift:,1677.6569444444444
D204 LFB Chiller:,3180.5102777777774
D207 Generator:,1061.1636111111113
D207 Thermal Storage IT:,319.7355555555556
D207 Thermal Storage plant :,3336.314166666668
E201 Dental CSB DB-C-WS:,1865.1838888888888
E201 Dental Walsh MSSB 0-3:,1068.6586111111112
E201 Dental Walsh MSSB 1-1:,638.925
E209 Zoology Annex DBGC:,1858.573888888889
E209 Zoology Annex DBGD:,4015.2825000000003
E305 325 Gt King Server Room CRAC2:,4132.113333333333
E305 325 Gt King st Server Room CRAC6:,2283.8805555555555
E325 2 Eccles Physio Building:,0.0
E325 3 Eccles Generator:,526.1127777777778
E325 Eccles DB 1.1:,2996.825833333334
E325 Eccles DB 2.1:,2751.8777777777777
E325 Eccles DB 3.1:,3169.0797222222227
E325 Eccles DB 3.2:,1529.9113888888887
E325 Eccles DB 4.1:,1717.8519444444441
E325 Eccles HSSB G1:,0.0
E325 Eccles HSSB-4.1:,3249.1936111111117
"E325 Eccles MSSB 4-1 Compressors, Vacuum:",2631.464444444444
E325 Eccles MSSB-G.2 Electric Steam Boiler:,1749.0475000000001
E325 Eccles MSSB-G.3:,1329.4499999999998
