Meter_location,Jan_2022,Feb_2022,Mar_2022,Apr_2022,May_2022,Jun_2022,Jul_2022,Aug_2022,Sep_2022,Oct_2022,Nov_2022,Dec_2022,Jan_2023,Feb_2023,Mar_2023,Apr_2023,May_2023,Jun_2023,Jul_2023,Aug_2023,Sep_2023,Oct_2023,Nov_2023,Dec_2023,Jan_2024,Feb_2024,Mar_2024,Apr_2024,May_2024,Jun_2024,Jul_2024,Aug_2024,Sep_2024,Oct_2024,Nov_2024,Dec_2024
 Total Gas Energy - DN,267055.75,267055.75,272338.73,535314.41,284853.4,365154.52,408923.9,403953.48,485490.34,383857.62,398442.35,242447.51,281549.5,267110.34,254303.16,273815.95,323616.42,306719.33,323355.0,410408.0,389175.0,351762.0,347413.0,306124.0,260482.0,189425.0,213297.0,234802.0,315945.0,342520.0,362369.0,359128.0,405043.0,382578.0,309866.0,274285.75
Total Gas Energy - Colleges,11764.42,11764.42,24026.58,41246.94,42478.02,52359.89,64692.49,48446.03,56380.68,57093.09,58849.8,42609.53,77249.26,23851.04,41872.55,42611.03,46779.25,59592.85,41429.0,35855.0,45388.0,71837.0,52793.0,41544.0,27369.0,25797.0,31247.0,22258.0,25782.0,31203.0,75144.0,80937.0,82938.0,87333.0,69378.0,42076.77
D204 LFB Gas,18.52,3.09,58.64,3.09,5.56,3.7,3.09,0.0,0.0,21.3,16.05,12.04,18.52,3.09,5.25,4.01,5.56,3.7,3.09,0.0,0.0,21.3,16.05,12.04,18.52,3.09,3.7,3.55,5.56,3.7,3.09,0.0,0.0,21.3,16.05,12.04
"E208/12,ZOOLOGY (BENHAM BLDG),346 GREAT KING",48269.11,33430.09,38820.95,53603.43,69708.19,94933.33,109139.42,82998.85,91814.09,75573.71,54993.52,60791.23,28954.66,37329.14,56993.9,59672.38,77302.85,94933.33,114259.04,111377.14,75675.42,75675.42,60892.95,27123.81,66148.19,55603.81,59062.09,55773.33,94560.37,80320.38,102019.42,94526.47,94526.47,51094.47,68404.78,53833.63
"E213,PARKER BUILDING,344 GREAT KING",4715.9,5137.68,5532.88,6536.1,6961.71,6080.09,6232.1,7752.12,30.4,15656.24,6262.5,7356.91,2675.24,5152.88,3878.18,6577.27,5624.09,7296.11,10336.16,7569.72,7569.72,7995.32,7296.11,2432.04,1489.62,1276.82,8056.12,7387.31,10731.36,8633.73,1180966.93,1255204.87,1327284.37,1361241.7,7927.5,6111.76
E325 Eccles Gas meter,222265.06,234041.41,263935.46,275812.19,310081.88,387262.23,401602.55,372774.83,335931.23,347219.64,232129.36,274782.63,239299.52,210030.56,235953.45,259228.89,272668.35,316512.97,349996.88,370806.53,310016.43,287843.35,260412.16,253161.84,205230.6,218666.01,263469.22,268427.29,340689.28,323470.23,365428.17,383088.83,354242.72,302360.17,246270.76,263972.23
F620 Psychology 2 Gas meter,2794.93,4457.74,5943.65,5059.18,4634.63,5200.7,5943.65,6085.17,5200.7,4457.74,4953.04,4634.63,3927.06,4422.36,5377.59,5448.35,5342.21,5306.83,4599.25,4846.91,3785.54,3750.16,2582.66,3077.96,1662.81,1061.37,1839.7,1096.75,1698.19,1768.94,1238.26,1556.67,1910.46,2759.55,3767.85,3856.3
F940 Plaza Café Gas,694.99,3085.06,2813.84,4102.11,3593.58,3390.17,4203.81,4102.11,3118.96,2101.91,1050.95,1017.05,813.64,847.54,983.15,1050.95,1017.05,1017.05,1186.56,1389.97,508.53,1152.66,1186.56,1186.56,576.33,779.74,813.64,31325.19,1017.05,1017.05,2695.19,2746.04,1813.74,1627.28,1118.76,1101.81
F940 Plaza Gas meter Main (Desigo),979.08,1138.08,1056.72,1191.31,1151.64,1038.07,1383.19,1362.17,1189.95,1102.82,24030.89,699.39,979.08,1138.08,1056.72,1191.31,1151.64,1038.07,1383.19,1362.17,1189.95,1102.82,24030.89,699.39,979.08,1138.08,1056.72,1191.31,1151.64,1038.07,1383.19,1362.17,1189.95,1102.82,24030.89,699.39
F940 Plaza L1 Gas meter Kitchen Café,82.72,112.21,44.75,81.36,98.99,132.56,158.66,495.98,458.35,589.89,2275.82,68.48,82.72,112.21,44.75,81.36,98.99,132.56,158.66,495.98,458.35,589.89,2275.82,68.48,82.72,112.21,44.75,81.36,98.99,132.56,158.66,495.98,458.35,589.89,2275.82,68.48
F940 Plaza L4 HHW Gas meter,0.0,0.68,0.34,0.34,1217.41,1186.56,878.05,647.52,689.9,460.39,13833.6,0.0,0.0,0.68,0.34,0.34,1217.41,1186.56,878.05,647.52,689.9,460.39,13833.6,0.0,0.0,0.68,0.34,0.34,1217.41,1186.56,878.05,647.52,689.9,460.39,13833.6,0.0
F940 Plaza Unipol Gas,6949.85,8814.45,8475.43,11526.58,11967.31,11865.6,12577.54,13899.7,13221.67,13764.1,10577.34,9153.46,6712.54,8034.71,10509.53,10645.14,10170.51,11526.58,14001.41,15798.2,13458.98,12441.93,11187.57,12374.13,7187.16,10848.55,11899.5,11763.9,11628.29,11187.57,12035.11,14137.02,14069.21,9163.63,11805.59,10763.79
G403 Biochemistry Gas meter,44.2,38.89,70.72,70.72,70.72,35.36,141.43,70.72,106.08,35.36,106.08,35.36,35.36,49.5,42.08,33.24,62.23,42.43,18.03,70.72,42.43,32.18,86.63,118.1,53.04,28.29,26.17,37.48,70.72,35.36,6.36,6188.46,19616.94,21851.6,96.35,76.73
G404 Microbiology Gas meter,13895.92,16689.25,20225.1,17679.29,16830.68,17254.98,20790.84,19093.63,17325.7,16936.76,18103.59,12764.44,14072.71,15557.77,19776.05,15264.3,21073.71,16795.32,19517.93,20649.41,20083.67,17877.29,17658.07,14815.24,13719.13,17962.15,15593.13,17750.0,18032.87,16795.32,19447.21,2929740.62,1944.72,2227.59,17880.83,13789.84
G501 Staff Club Gas meter,265.19,565.74,813.25,707.17,1520.42,1237.55,2086.16,1767.93,1520.42,1838.65,1520.42,636.45,212.15,636.45,990.04,883.96,1485.06,1732.57,1732.57,2262.95,1485.06,1378.98,1378.98,848.61,318.23,671.81,1237.55,1152.58,1393.23,1732.57,1803.29,2086.16,1661.85,2044.64,1449.7,742.53
