Automated Meter Location,Boiler location,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24
Total Solar Energy - DN,1,1.0,3567.0,4668.0,2995.0,1812.0,1026.0,1045.0,2329.0,2446.0,2974.199999999997,2258.100000000006,2277.199999999997,1532.1000000000058,1595.8999999999942,2520.0,2848.800000000003,1524.199999999997,913.5,1047.300000000003,1707.0,2564.0999999999917,3162.0,2243.600000000006,1703.699999999997,2205.800000000003,2693.5,2360.600000000006,1622.199999999997,1699.5999999999913,708.6000000000058,1196.1000000000058,2234.5,2018.3999999999944,2206.300000000003, , 
E308 Student Health,1,0.0,196.0,198.0,278.0,126.0,180.0,133.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5,9.0,553.0,15.0,284.0,482.0,471.0,512.0, , 
E811.TE.RANGIHIROA.MTHW HX0.1a,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118800.0,71200.0,93899.99999999996,49700.00000000005,25799.99999999996,17890.000000000044,18359.993900000005,25919.98289999998,38520.01949999999,66430.00369999999,83939.96090000008,37500.0,79330.01709999997,1200.0121999999465,0.0, , 
E811.TE.RANGIHIROA.MTHW HX0.1b,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69500.0,69500.0,39199.99999999999,12300.000000000013,21000.0,21099.999999999996,27829.99270000002,36040.0085,49049.9878,81930.01099999998,55809.97919999999,97029.99880000004,63470.03180000001,104199.95110000002,91.79003909999994, , 
E811.TE.RANGIHIROA.MTHW HX0.2 DHW,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23400.0,14600.000000000002,18500.0,4799.999999999997,1400.0000000000057,8230.000000000004,28720.00152999999,39659.99607000001,46020.00419999999,48899.9982,44049.9988,46839.9963,58639.9841,51240.02080000003,54.0899963, , 
E811.TE.RANGIHIROA.LTHW Ground,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33700.0,15299.999999999996,14600.000000000002,8499.999999999993,7100.000000000008,7230.000000000004,8139.999689999996,11790.000910000002,22839.996299999995,39800.0031,35259.99450000001,29290.008599999997,29949.9969,22089.996299999995,19.130004900000017, , 
E811.TE.RANGIHIROA.LTHW  L1-6,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99200.0,118800.0,128399.99999999996,52900.00000000004,44300.000000000015,35690.0,43919.96090000004,54650.02449999997,68679.9926,109780.02200000004,105479.9878,106679.99269999996,113900.02449999996,87609.98500000004,77.93994199999997, , 
E811 Te Rangihiroa Chiller 1,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,3000.0,3699.999999999999,1100.0000000000014,59.99999999999872,0.0,19150.00023,12670.000079999998,12969.997400000004,7440.002290000002,3130.001219999997,5009.994509999999,6220.00122,6020.004270000001,11.039993289999998, , 
E811 Te Rangihiroa Chiller 2,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,2600.0,2800.0,3000.000000000001,15899.999999999998,29300.0,7729.999540000002,20.000459999998554,0.0,9.99999999999801,10.000460000000544,19.99664000000223,0.0,20.000459999998554,0.0100021300000037, , 
F603 Property Services wood chip boiler (10.3.161.234),1,0.0,40.0,717.0,2761.0,5584.0,10855.0,12634.0,11000.0,10768.0,10472.0,6705.0,1355.0,954.0,117.0,7336.0,18711.0,27396.0,4405.0,28.0,8377.0,35644.0,26478.0,24641.0,11818.0,13601.0,20949.0,12696.0,6510.0,11733.0,10444.0,15375.0,7760.0,6407.0,9223.0, , 
