Meter_location,Mean_Consumption
D201 Adams 7th Floor Mechanical:,12538.256944444445
D201 Adams Basement Mechanical:,10669.380555555555
D201 Adams Lower Riser:,17155.669166666667
D204 LFB DBB1:,13656.010277777774
D204 LFB DBB2:,4448.6849999999995
D204 LFB DBB4:,5512.546666666666
D204 LFB DBB5:,9255.921944444444
D207 Nitrogenplant:,4392.830277777777
E201 Dental CSB Busduct Riser 4:,8800.240000000002
E201 Dental CSB DB-C-CSSD-ESS:,6872.6225
E201 Dental CSB DB-CSSD:,4197.733611111111
E201 Dental CSB MSSD02:,14050.366111111116
E201 Dental Walsh MSSB 4-2:,15940.972222222223
E201 Dental Walsh MSSB 5-1:,6046.4425
E201 Dental Walsh Riser 1:,14645.218055555555
E201 Dental Walsh Riser 2:,14755.025833333335
E209 2 Marples Building Incl. Annex:,16942.35638888889
E211 Parker Building:,14358.103333333336
E305 325 Gt King Server Room CRAC1:,4397.04
E305 325 Gt King Server Room CRAC4:,5166.0552777777775
E305 325 Gt King st Server Room CRAC5:,6171.808333333334
"E315 71 Frederick Street, MSB:",17350.012777777778
E325 Eccles MSSB 4-3 Fans:,9865.085
E325 Eccles MSSB-G.1:,12317.781388888889
