Building_Code,Date,Gas_Consumption,Month,Year,Season
F204,2022-01-01,1964.35,1,2022,Summer
F402,2022-01-01,48.22,1,2022,Summer
F405,2022-01-01,0.0,1,2022,Summer
F512,2022-01-01,6594.87,1,2022,Summer
F516/17,2022-01-01,1459.92,1,2022,Summer
F603,2022-01-01,368.44,1,2022,Summer
F620 Psychology 2,2022-01-01,2794.93,1,2022,Summer
F62X,2022-01-01,72668.22,1,2022,Summer
F916,2022-01-01,39249.13,1,2022,Summer
F940,2022-01-01,19770.67,1,2022,Summer
G403 Biochemistry Gas meter,2022-01-01,44.2,1,2022,Summer
G404 Microbiology Gas meter,2022-01-01,13878.24,1,2022,Summer
G412,2022-01-01,148.92,1,2022,Summer
G501 Staff Club Gas meter,2022-01-01,265.19,1,2022,Summer
G601,2022-01-01,60.91,1,2022,Summer
G608,2022-01-01,2364.47,1,2022,Summer
G60X,2022-01-01,27880.98,1,2022,Summer
F204,2022-02-01,1964.35,2,2022,Summer
F402,2022-02-01,48.22,2,2022,Summer
F405,2022-02-01,0.0,2,2022,Summer
F512,2022-02-01,6594.87,2,2022,Summer
F516/17,2022-02-01,1459.92,2,2022,Summer
F603,2022-02-01,368.44,2,2022,Summer
F620 Psychology 2,2022-02-01,4457.74,2,2022,Summer
F62X,2022-02-01,72668.22,2,2022,Summer
F916,2022-02-01,39249.13,2,2022,Summer
F940,2022-02-01,24214.51,2,2022,Summer
G403 Biochemistry Gas meter,2022-02-01,38.89,2,2022,Summer
G404 Microbiology Gas meter,2022-02-01,15274.905,2,2022,Summer
G412,2022-02-01,148.92,2,2022,Summer
G501 Staff Club Gas meter,2022-02-01,565.74,2,2022,Summer
G601,2022-02-01,121.82,2,2022,Summer
G608,2022-02-01,2364.47,2,2022,Summer
G60X,2022-02-01,2716.78,2,2022,Summer
F204,2022-03-01,3990.09,3,2022,Autumn
F402,2022-03-01,125.95,3,2022,Autumn
F405,2022-03-01,1220.37,3,2022,Autumn
F512,2022-03-01,5208.26,3,2022,Autumn
F516/17,2022-03-01,1733.65,3,2022,Autumn
F603,2022-03-01,736.89,3,2022,Autumn
F620 Psychology 2,2022-03-01,5943.65,3,2022,Autumn
F62X,2022-03-01,11321.24,3,2022,Autumn
F916,2022-03-01,3019.16,3,2022,Autumn
F940,2022-03-01,22809.98,3,2022,Autumn
G403 Biochemistry Gas meter,2022-03-01,70.72,3,2022,Autumn
G404 Microbiology Gas meter,2022-03-01,19288.1,3,2022,Autumn
G412,2022-03-01,12183.65,3,2022,Autumn
G501 Staff Club Gas meter,2022-03-01,813.25,3,2022,Autumn
G601,2022-03-01,395.92,3,2022,Autumn
G608,2022-03-01,2610.13,3,2022,Autumn
G60X,2022-03-01,100.0,3,2022,Autumn
F204,2022-04-01,4450.48,4,2022,Autumn
F402,2022-04-01,3019.06,4,2022,Autumn
F405,2022-04-01,169.5,4,2022,Autumn
F512,2022-04-01,7744.75,4,2022,Autumn
F516/17,2022-04-01,1976.97,4,2022,Autumn
F603,2022-04-01,884.26,4,2022,Autumn
F620 Psychology 2,2022-04-01,5059.18,4,2022,Autumn
F62X,2022-04-01,5483.73,4,2022,Autumn
F916,2022-04-01,89489.38,4,2022,Autumn
F940,2022-04-01,26098.12,4,2022,Autumn
G403 Biochemistry Gas meter,2022-04-01,70.72,4,2022,Autumn
G404 Microbiology Gas meter,2022-04-01,17696.965,4,2022,Autumn
G412,2022-04-01,8091.46,4,2022,Autumn
G501 Staff Club Gas meter,2022-04-01,707.17,4,2022,Autumn
G601,2022-04-01,1400.95,4,2022,Autumn
G608,2022-04-01,3899.85,4,2022,Autumn
G60X,2022-04-01,0.0,4,2022,Autumn
F204,2022-05-01,6353.45,5,2022,Autumn
F402,2022-05-01,3376.58,5,2022,Autumn
F405,2022-05-01,6237.43,5,2022,Autumn
F512,2022-05-01,13697.05,5,2022,Autumn
F516/17,2022-05-01,2828.59,5,2022,Autumn
F603,2022-05-01,2394.88,5,2022,Autumn
F620 Psychology 2,2022-05-01,4634.63,5,2022,Autumn
F62X,2022-05-01,118554.63,5,2022,Autumn
F916,2022-05-01,119036.48,5,2022,Autumn
F940,2022-05-01,34922.05,5,2022,Autumn
