Month,F204 444 Great King Street - kWh,F813 Bill Robertson Library 1 MSB:,F419 ISB West Excluding Shops,F505 Richardson Library Block Rising Main:,F518 Arts 1 Submains MSB:,"F516 97 Albany & F517 99 Albany, F513 262 Leith Walk:",F614 1 School of Business Incomer 1 (Lower floors):,F614 2 School of Business Incomer 2 (Upper floors):,F618 1 Psychology substation- Goddard,F505 1 Richardson Mains:,G506/07 Archway buildings (incl. Allen & Marama Hall):,F315 Botany Tin Hut - kWh,F325 Physical Education - kWh,F711 Executive Residence - kWh,F812 UOCOE Owheo Building - kWh,F813 UOCOE Robertson Library - kWh,F940 Plaza Building - kWh,F9XX College of Education main (Boiler room) - kWh,G401 Mellor Laboratories - kWh,G505 Geology north:,G505 Geology south:,G403 Biochemistry - kWh,G404 Microbiology - kWh,G413 Science 2 - kWh,G608 St Margarets College - kWh,G60X UNICOL - kWh,H41X Selwyn College - kWh E2,H633 Arana College main - kWh,H71X Studholm College - kWh E2,Total kwh
Jan-22,109335.43,23896,62392,991,14960,1442,48411,14693,57577,42196,10723,21619.552,14269.856,3184.326,29788.49,33022.12,132734.407,41395.888,105178.752,21105,7516,142364.04,98978.64,117647.736,15498.576,31056.272,9109.068,27736.592,9162.46,1247984.205
Feb-22,98047.92,41009,58868,6284,14374,1420,49618,16974,66046,45182,11656,21814.452,14967.44,3481.794,27845.59,38208.57,127971.067,42710.064,97322.72,21414,7478,132295.608,94068.384,110835.864,22857.39,46680.72,19710.936,35153.952,16661.09,1290956.561
Mar-22,110226.2,45788.83,70067,12660,17839,1624,57196,24041,75304,63029,13758,28049.388,21471.824,4247.004,31621,45788.83,141535.574,52238.08,113705.088,24894,8747,149336.688,108025.08,124466.616,34832.604,72225.952,32905.524,50402.48,32275.52,1568301.282
Apr-22,106434.71,55406.17,64977,11132,18857,1752,57539,29151,44891,57916,19187,36248.66,26929.584,6150.864,29930.47,44075.01,124295.826,50871.6,105821.12,30183,9624,142409.328,96618.6,120885.36,33771.756,66279.936,34081.02,45199.632,30739.11,1501357.756
May-22,109583.64,45911,69451,14117,24552,2704,70147,42569,53599,71804,28214,44558.124,38658.48,6653.364,34572.55,46953.25,137722.263,66122.944,115579.872,42589,13368,152989.776,101740.08,133904.496,38951.094,81338.08,53866.554,54997.152,50320.7,1747537.419
Jun-22,105134.11,42061,59670,12784,23107,3403,70875,54060,90860,66601,35370,49167.004,52347.808,24373.986,32869.58,42061.74,123264.818,68435.616,108671.36,47053,19565,151741.944,96235.368,145255.608,35980.128,76659.392,58802.862,49162.8,52206.45,1797779.574
Jul-22,109309.85,23995,67402,13775,26447,3595,76809,63677,98211,70282,36617,53740.892,56881.52,20747.556,34543.1,33123.86,114116.935,78874.864,113879.36,52997,20874,161403.528,100340.4,147425.952,38702.508,81596.192,66641.76,51920.736,60932.97,1878862.983
Aug-22,107218.83,40635,75562,15491,25929,3815,74135,56549,107876,74224,36603,41248.52,51578.512,7394.37,34779.42,43194.71,141536.911,78104.032,119970.048,49326,18672,159507.6,104576.952,148776.216,39878.244,84484.704,64360.314,55323.616,60960.69,1921710.689
Sep-22,99593.07,42556.85,69914,13671,24463,3040,69071,49924,95473,69644,30481,40634.112,49572.64,5112.834,35788.38,42556.85,126967.056,72108,114243.808,47418,15781,149133.096,101239.416,126293.136,38093.826,79445.008,59771.448,53956.608,53064.48,1779010.618
Oct-22,104778.42,30000,75168.18,12990.52,25156.72,2163.28,70300.16,44551.68,92428.29,66495.62,25450.75,27927.112,42745.808,4537.698,35880.81,44243.34,129526.305,64288.544,116012.352,42522.11328,13493.37598,145513.272,100892.016,127217.736,38109.312,80128.672,56099.508,55007.216,51225.93,1724854.74
Nov-22,102801.54,25056.78,61689,9759.06,21770.77,1105.73,58430.98,24031.74,73483.27,55495.68,12625.15,15794.556,23090.448,4811.982,30754.21,38431.05,123445.672,55279.696,107857.184,27639.29688,7892.47998,138796.152,99258.744,117010.608,22660.62,48861.824,20486.262,32963.872,19746.1,1381030.457
Dec-22,104859.89,28787.15,50649.84,7102.2,16056.58,1358.19,53123.07,24773.63,64457.73,45352.19,12561.66,16768.488,20941.136,2637.096,28871.38,28693.72,108872.284,45214.304,109588.608,23074.56,6089.34,135829.632,93505.92,114322.296,12628.62,32150.064,7859.04,27013.616,10826.49,1233968.724
Jan-23,105261.77,29568.1,62910.13,6525.37,18610.1,816.88,47486.46,15986.18,67116.03,44661.5,7290.37,13061.972,17463.392,2509.35,29559.18,28200.3,114364.042,43082.416,114213.856,18754.56,5011.97,140288.952,99157.224,105768.216,19545.594,41933.872,7731.828,29213.232,10044.19,1246137.036
Feb-23,103261.91,35017.51,63041.74,6671.54,18506.53,821.36,48112.13,16455.17,85586.95,47564.8,7112.45,16192.124,16941.84,3767.694,29898.86,34896.23,115893.848,44725.184,111133.6,19603.71,5584.64,134816.736,106457.736,104174.832,23192.436,53350.896,14412.804,32393.28,18755.36,1318343.9
Mar-23,119858.94,40530.64,71311.41,13250.5,25238.78,1530.34,61686.79,29668.86,84045.82,66122.49,13283.33,28155.368,26037.872,9206.994,34745.93,40392.62,134667.155,61421.44,121636.8,28097.02,8186.37,142286.928,118099.872,117258.912,35581.176,74208.144,32099.472,51125.92,35430.74,1625166.633
Apr-23,114857.85,36706.53,64798.02,12007.07,22181.7,2040.94,55425.02,34327.04,79712.26,58931.71,17769.98,28923.272,29906.304,14225.916,27523.43,36579.71,126818.167,57050.752,112208.128,32072.19,9403.14,131022.504,104355.48,108795.024,34337.166,62701.632,39227.094,51570.88,36934.76,1542413.669
May-23,119288.3,43112.02,74385.01,15011.97,28210.91,2507.66,65879.55,46530.56,98728.96,71376.13,26347.01,32350.172,39935.408,17295.336,33584.73,42960.64,132970.652,71231.216,120440.064,37179.9,13704.06,140897.352,118004.952,115032.144,39523.908,77504.88,58825.338,55909.456,50088,1788816.288
Jun-23,116037.35,40615.52,68902.8,14172.85,27693.47,2819.33,66482.18,53007.36,102009.86,66795.77,30577.41,42945.812,47554.16,19802.706,31001.29,40465.42,116943.007,73030.4,107742.208,45116.16,17342.08,134212.728,100029.216,117377.064,35196.924,70256.208,58440.414,52418.192,46512.88,1745500.769
