Date,temp_mean,temp_max,temp_min,temp_std_dev,radiation_total,avg_peak_radiation,humidity_mean,rain_total,term_days,holiday_days,exam_days,Mean_daily_Solar_energy,avg_wind_speed,morning_temp_mean,afternoon_temp_mean,evening_temp_mean,pressure_mean,weighted_monthly_score
Jan_2022,17.40053319,29,10.7,3.187058127,1822045.7,932.016129,65.59237537,12.6,19,12,0,19.6,3.613996268,17.14200132,17.81323239,17.11832258,1011.6233,187.1727313
Feb_2022,16.29138135,31.1,9.6,3.230367632,1392674.5,753.0571429,68.3822314,28.2,23,5,0,15.9,3.736097993,15.70736152,16.73367347,16.58785714,1012.62928,161.0188297
Mar_2022,16.84737403,26.3,9.9,2.309266134,1385636.3,714.4709677,68.53665689,3.8,27,4,0,13.8,3.42407358,16.28077683,17.57695853,16.56709677,1014.580912,112.6398534
Apr_2022,14.51807163,20.6,6.1,1.955175002,970087,590.39,61.2369146,12.4,17,13,0,9.8,3.026391185,13.41414966,15.58326531,14.65653333,1012.734435,84.74438567
May_2022,12.8302586,22.5,3.3,2.734947842,619056.5,410.0935484,67.40655825,12.8,26,5,0,6,2.524926686,11.61507571,14.21296906,12.56954839,1010.661424,59.73631832
Jun_2022,9.538347107,18.1,0.5,2.713886929,398857.8,324.46,65.99338843,20,24,6,13,4,2.913360882,8.295102041,11.00040816,9.2008,1001.007163,37.70933471
Jul_2022,8.767208744,18.4,0.7,2.210705918,432381.8,292.9774194,70.40309251,121.6,26,5,0,4.2,3.54340176,7.823963134,9.822580645,8.608516129,1009.177819,39.36818848
Aug_2022,10.93551053,20.5,-1.1,2.872856067,793397.3,491.2774194,62.03918955,17.8,23,8,0,7.7,2.904105572,10.00559579,11.81323239,11.08967742,1011.893095,52.59382431
Sep_2022,11.66024793,18.7,2.6,2.53758243,1045771.6,658.6766667,63.70716253,11.6,23,7,0,10.7,3.495426997,11.26367347,12.24061224,11.32893333,1012.410468,86.12561433
Oct_2022,13.07755265,23.1,1.2,3.523569048,1512415.5,809.8935484,57.70914423,16.4,25,6,10,15.6,3.803225806,12.79486504,13.61942067,12.58580645,1010.959477,114.521425
Nov_2022,16.01520661,24.6,10.3,2.195246858,1582111.8,930.0666667,61.26694215,14.8,26,4,11,17.5,3.811487603,15.96088435,16.30156463,15.5804,1000.981267,124.0989174
Dec_2022,16.74758731,26.4,8.9,3.223874599,1574165.3,897.4032258,64.87629965,18.6,9,22,0,17.1,3.819514796,16.65391705,17.08084266,16.28374194,1008.692082,163.6953572
Jan_2023,18.93343109,25.1,12.5,2.649785706,1860128.7,911.6903226,61.10317249,17.4,20,11,0,20.2,3.813116502,18.83561554,19.36214615,18.3116129,1011.460944,190.6858878
Feb_2023,19.14164699,31.1,10,3.915423604,1553241.4,906.7678571,61.02538371,8.8,23,5,0,17.9,3.708825266,18.98236152,19.57427114,18.63428571,1007.61954,177.6401712
