Building_Code,2022,2023,2024
F204,83546.29,59083.08,55260.39
F402,39112.65,90408.48,92449.68
F405,135257.24,144541.31,167104.77
F512,171967.12,163451.52,177556.42
F516,41577.22,41326.47,34349.42
F603,19822.239999999998,19153.58,25409.079999999998
F620,59365.76,52466.88,24216.85
F916,523892.71,624060.15,945219.54
F940,807842.48,1016611.15,964934.8099999999
G403,825.64,632.93,48087.5
G404,425611.12,441804.48,3307081.8800000004
G412,227823.58000000002,605144.85,136864.75
G501,14479.35,15027.38,16294.14
G601,12334.47,7814.27,7791.29
G608,40103.92,78765.72,199655.78
